#,date,time,home,away,league,H,D,A
129,10 May,20:00,AJ Auxerre,Nice,France - Ligue 1,2.44,3.41,2.88
130,10 May,20:00,Angers,Strasbourg,France - Ligue 1,3.51,3.43,2.11
131,10 May,20:00,Le Havre,Marseille,France - Ligue 1,4.22,3.98,1.78
132,10 May,20:00,Metz,Lorient,France - Ligue 1,2.88,3.57,2.36
133,10 May,20:00,Monaco,Lille,France - Ligue 1,2.25,3.83,2.91
134,10 May,20:00,PSG,Brest,France - Ligue 1,1.16,8.1,15.08
135,10 May,20:00,Rennes,Paris FC,France - Ligue 1,1.5,4.78,5.7
136,10 May,20:00,Toulouse,Lyon,France - Ligue 1,3.95,3.67,1.91
137,10 May,20:00,Clube do Remo PA,SE Palmeiras SP,Brazil - Brasileiro Serie A,5.4,3.75,1.62
138,10 May,22:30,Santos FC SP,Red Bull Braganti...,Brazil - Brasileiro Serie A,2.05,3.25,3.6
139,10 May,22:30,SC Corinthians SP,Sao Paulo FC SP,Brazil - Brasileiro Serie A,2.15,3.1,3.4
140,11 May,13:15,FC Pari Nizhny N...,CSKA Moscow,Russia - Premier League,3.75,3.7,1.88
141,11 May,19:45,Napoli,Bologna,Italy - Serie A,1.57,4.11,5.93
142,11 May,20:00,Tottenham,Leeds United,England - Premier League,2.04,3.63,3.52
143,11 May,20:00,Rayo Vallecano,Girona,Spain - LaLiga,2.24,3.45,3.2
144,13 May,20:00,Lazio,Inter,Italy - Coppa Italia,4.4,3.8,1.79
145,13 May,20:00,RC Lens,PSG,France - Ligue 1,3.35,3.72,2.07
146,13 May,23:30,Coritiba FC PR,Santos FC SP,Brazil - Copa do Brasil,2.5,3.3,2.75
147,14 May,01:30,EC Jacuipense BA,SE Palmeiras SP,Brazil - Copa do Brasil,13.5,5.9,1.21
148,14 May,14:00,Union Gilloise,RSC Anderlecht,Belgium - Beker van Belgie,1.85,3.6,3.9
149,14 May,16:00,Copenhagen,FC Midtjylland,Denmark - DBU Pokalen,2.55,3.25,2.5
150,14 May,23:30,SC Corinthians SP,Barra FC SC,Brazil - Copa do Brasil,1.26,5.2,12.5
151,16 May,15:00,Chelsea,Man City,England - FA Cup,4.3,3.71,1.83
152,22 May,20:00,RC Lens,Nice,France - Coupe de France,1.81,3.79,4.28
153,23 May,15:00,Celtic,Dunfermline Athl...,Scotland - Scottish Cup,1.22,5.9,10.0
154,23 May,19:00,Bayern Munich,Stuttgart,Germany - DFB Pokal,1.35,5.77,7.36
155,24 May,17:15,Sporting,SCU Torreense,Portugal - Taca de Portugal,1.14,7.4,15.5
156,11 Jun,20:00,Mexico,South Africa,International - FIFA World Cup,1.52,4.29,6.28
157,12 Jun,03:00,Korea Republic,Czechia,International - FIFA World Cup,2.72,3.18,2.71
158,12 Jun,20:00,Canada,Bosnia & Herzeg...,International - FIFA World Cup,1.83,3.71,4.29
159,13 Jun,02:00,USA,Paraguay,International - FIFA World Cup,2.05,3.51,3.61
160,13 Jun,20:00,Qatar,Switzerland,International - FIFA World Cup,10.03,5.72,1.29
161,13 Jun,23:00,Brazil,Morocco,International - FIFA World Cup,1.59,4.11,5.62
162,14 Jun,02:00,Haiti,Scotland,International - FIFA World Cup,7.08,4.76,1.43
163,14 Jun,05:00,Australia,Turkiye,International - FIFA World Cup,4.16,3.59,1.88
164,14 Jun,18:00,Germany,Curacao,International - FIFA World Cup,1.03,19.17,41.38
165,14 Jun,21:00,Netherlands,Japan,International - FIFA World Cup,2.04,3.61,3.52
166,15 Jun,00:00,Ivory Coast,Ecuador,International - FIFA World Cup,3.26,3.1,2.38
167,15 Jun,03:00,Sweden,Tunisia,International - FIFA World Cup,1.98,3.36,4.03
168,15 Jun,17:00,Spain,Cape Verde,International - FIFA World Cup,1.08,11.15,29.2
169,15 Jun,20:00,Belgium,Egypt,International - FIFA World Cup,1.65,4.04,5.06
170,15 Jun,23:00,Saudi Arabia,Uruguay,International - FIFA World Cup,6.21,4.27,1.53
171,16 Jun,02:00,IR Iran,New Zealand,International - FIFA World Cup,1.77,3.69,4.65
172,16 Jun,20:00,France,Senegal,International - FIFA World Cup,1.48,4.5,6.6
173,16 Jun,23:00,Iraq,Norway,International - FIFA World Cup,10.32,5.89,1.28
174,17 Jun,02:00,Argentina,Algeria,International - FIFA World Cup,1.43,4.6,7.55
175,17 Jun,05:00,Austria,Jordan,International - FIFA World Cup,1.35,5.3,8.39
176,17 Jun,18:00,Portugal,Congo DR,International - FIFA World Cup,1.3,5.66,9.72
177,17 Jun,21:00,England,Croatia,International - FIFA World Cup,1.7,3.9,4.87
178,18 Jun,00:00,Ghana,Panama,International - FIFA World Cup,2.07,3.51,3.54
179,18 Jun,03:00,Uzbekistan,Colombia,International - FIFA World Cup,7.41,4.71,1.42
