home_team,away_team,home_score,away_score,home_odds,away_odds,date,season,league,venue,attendance,over_under,home_rating,away_rating
Huskies,Knicks,66,68,1.95,1.95,1946-11-01,1947,NBA,Huskies,,,1300.0,1300.0
Stags,Knicks,63,47,2.04,1.96,1946-11-02,1947,NBA,Stags,,,1300.0,1306.7233
Falcons,Capitols,33,50,1.95,1.95,1946-11-02,1947,NBA,Falcons,,,1300.0,1300.0
Steamrollers,Celtics,59,53,1.95,1.95,1946-11-02,1947,NBA,Steamrollers,,,1300.0,1300.0
Bombers,Ironmen,56,51,1.95,1.95,1946-11-02,1947,NBA,Bombers,,,1300.0,1300.0
Rebels,Huskies,71,60,1.96,2.04,1946-11-03,1947,NBA,Rebels,,,1300.0,1293.2767
Ironmen,Capitols,56,71,2.16,1.87,1946-11-04,1947,NBA,Ironmen,,,1295.3092,1320.3811
Celtics,Stags,55,57,2.09,1.92,1946-11-05,1947,NBA,Celtics,,,1294.8458,1309.6521
Falcons,Bombers,49,53,2.16,1.87,1946-11-05,1947,NBA,Falcons,,,1279.6189,1304.6908
Warriors,Ironmen,81,75,1.88,2.14,1946-11-07,1947,NBA,Warriors,,,1300.0,1277.9456
Steamrollers,Stags,73,65,2.06,1.94,1946-11-07,1947,NBA,Steamrollers,,,1305.1542,1316.084
Bombers,Knicks,63,68,1.91,2.1,1946-11-07,1947,NBA,Bombers,,,1312.8473,1297.0712
Huskies,Falcons,73,71,1.92,2.09,1946-11-08,1947,NBA,Huskies,,,1286.1534,1271.4624
Stags,Huskies,62,54,1.89,2.13,1946-11-09,1947,NBA,Stags,,,1309.735,1289.1691
Falcons,Celtics,69,46,2.12,1.89,1946-11-09,1947,NBA,Falcons,,,1268.4468,1288.4139
Steamrollers,Ironmen,76,66,1.8,2.25,1946-11-09,1947,NBA,Steamrollers,,,1311.5032,1273.2786
Bombers,Capitols,70,69,2.22,1.82,1946-11-09,1947,NBA,Bombers,,,1302.5988,1337.7448
Rebels,Capitols,92,68,2.17,1.85,1946-11-10,1947,NBA,Rebels,,,1307.1233,1334.6112
Knicks,Stags,68,78,2.05,1.96,1946-11-11,1947,NBA,Knicks,,,1307.3197,1315.2522
Ironmen,Steamrollers,84,71,2.33,1.75,1946-11-11,1947,NBA,Ironmen,,,1267.4674,1317.3143
Stags,Celtics,71,61,1.73,2.37,1946-11-13,1947,NBA,Stags,,,1329.3558,1275.2767
Falcons,Steamrollers,68,70,2.16,1.86,1946-11-13,1947,NBA,Falcons,,,1281.584,1307.223
Warriors,Capitols,68,65,2.1,1.91,1946-11-14,1947,NBA,Warriors,,,1304.667,1320.6311
Bombers,Celtics,64,62,1.81,2.23,1946-11-14,1947,NBA,Bombers,,,1305.7323,1269.8861
Huskies,Steamrollers,85,68,2.19,1.84,1946-11-15,1947,NBA,Huskies,,,1283.6519,1313.4436
Celtics,Huskies,53,49,2.17,1.85,1946-11-16,1947,NBA,Celtics,,,1267.1501,1294.7554
Stags,Capitols,65,73,1.9,2.11,1946-11-16,1947,NBA,Stags,,,1334.7465,1316.6356
Knicks,Ironmen,64,62,1.91,2.09,1946-11-16,1947,NBA,Knicks,,,1293.2161,1277.5587
Steamrollers,Falcons,59,70,1.86,2.17,1946-11-16,1947,NBA,Steamrollers,,,1302.3401,1275.3634
Bombers,Rebels,83,74,2.08,1.93,1946-11-16,1947,NBA,Bombers,,,1308.4683,1321.1034
Rebels,Stags,76,78,2.04,1.96,1946-11-17,1947,NBA,Rebels,,,1314.2461,1321.4366
Knicks,Falcons,61,57,1.98,2.03,1946-11-18,1947,NBA,Knicks,,,1296.2185,1291.9098
Ironmen,Huskies,54,48,2.09,1.91,1946-11-18,1947,NBA,Ironmen,,,1274.5563,1290.0051
Warriors,Bombers,63,66,2.04,1.96,1946-11-19,1947,NBA,Warriors,,,1308.6625,1315.3256
Huskies,Rebels,72,74,2.14,1.88,1946-11-19,1947,NBA,Huskies,,,1284.491,1307.6647
Falcons,Ironmen,53,54,1.96,2.05,1946-11-20,1947,NBA,Falcons,,,1287.7742,1280.0704
Knicks,Stags,72,69,2.17,1.85,1946-11-20,1947,NBA,Knicks,,,1300.3541,1328.0181
Capitols,Bombers,54,51,1.96,2.04,1946-11-20,1947,NBA,Capitols,,,1329.9454,1322.9524
Celtics,Bombers,53,65,2.31,1.76,1946-11-21,1947,NBA,Celtics,,,1271.9004,1319.3402
Warriors,Stags,63,65,2.14,1.88,1946-11-21,1947,NBA,Warriors,,,1301.0356,1323.818
Steamrollers,Capitols,58,66,2.32,1.76,1946-11-21,1947,NBA,Steamrollers,,,1285.7937,1333.5576
Huskies,Celtics,83,82,1.89,2.12,1946-11-22,1947,NBA,Huskies,,,1278.2225,1257.9297
Falcons,Celtics,54,46,1.86,2.17,1946-11-23,1947,NBA,Falcons,,,1282.0223,1255.4705
Knicks,Rebels,82,76,2.06,1.95,1946-11-23,1947,NBA,Knicks,,,1304.5542,1313.9331
Steamrollers,Bombers,59,65,2.4,1.71,1946-11-23,1947,NBA,Steamrollers,,,1274.9045,1333.3109
Capitols,Huskies,74,50,1.69,2.44,1946-11-23,1947,NBA,Capitols,,,1344.4468,1280.6818
Stags,Falcons,55,68,1.78,2.28,1946-11-24,1947,NBA,Stags,,,1330.0941,1287.39
Rebels,Ironmen,62,60,1.88,2.14,1946-11-24,1947,NBA,Rebels,,,1308.5621,1285.8223
Celtics,Steamrollers,59,71,2.1,1.91,1946-11-25,1947,NBA,Celtics,,,1250.1028,1265.9526
Ironmen,Knicks,46,62,2.17,1.86,1946-11-25,1947,NBA,Ironmen,,,1282.9152,1309.9252
Falcons,Rebels,66,46,2.03,1.97,1946-11-26,1947,NBA,Falcons,,,1306.6039,1311.4692
Warriors,Celtics,66,54,1.71,2.41,1946-11-26,1947,NBA,Warriors,,,1294.7595,1234.6626
Huskies,Capitols,68,78,2.61,1.62,1946-11-26,1947,NBA,Huskies,,,1271.4497,1353.6788
Knicks,Bombers,67,60,2.09,1.92,1946-11-27,1947,NBA,Knicks,,,1327.9469,1342.2628
Ironmen,Rebels,62,60,2.23,1.82,1946-11-27,1947,NBA,Ironmen,,,1264.8934,1300.3143
Capitols,Stags,75,67,1.73,2.36,1946-11-27,1947,NBA,Capitols,,,1364.744,1310.8802
Celtics,Ironmen,59,55,2.26,1.79,1946-11-28,1947,NBA,Celtics,,,1228.7905,1268.6437
Stags,Bombers,72,75,2.19,1.84,1946-11-28,1947,NBA,Stags,,,1306.1592,1336.293
Warriors,Falcons,55,68,2.1,1.91,1946-11-28,1947,NBA,Warriors,,,1300.6316,1317.7588
Steamrollers,Knicks,58,60,2.35,1.74,1946-11-28,1947,NBA,Steamrollers,,,1281.3928,1333.9167
Huskies,Rebels,72,87,2.23,1.81,1946-11-29,1947,NBA,Huskies,,,1260.3845,1296.5641
Knicks,Warriors,64,60,1.73,2.37,1946-11-30,1947,NBA,Knicks,,,1339.6215,1284.4366
Steamrollers,Huskies,79,65,1.83,2.2,1946-11-30,1947,NBA,Steamrollers,,,1275.6881,1243.6194
Bombers,Falcons,60,57,1.95,2.06,1946-11-30,1947,NBA,Bombers,,,1343.3895,1333.9537
Capitols,Ironmen,49,40,1.54,2.84,1946-11-30,1947,NBA,Capitols,,,1369.4651,1263.6439
Stags,Celtics,66,56,1.69,2.46,1946-12-01,1947,NBA,Stags,,,1299.0626,1233.7903
Rebels,Falcons,49,47,2.1,1.91,1946-12-01,1947,NBA,Rebels,,,1313.3292,1330.3809
Ironmen,Celtics,44,46,1.84,2.2,1946-12-02,1947,NBA,Ironmen,,,1259.7294,1228.6831
Warriors,Steamrollers,76,68,2.01,1.99,1946-12-03,1947,NBA,Warriors,,,1281.1688,1283.1002
Knicks,Falcons,70,57,1.91,2.1,1946-12-04,1947,NBA,Knicks,,,1342.8893,1326.9114
Ironmen,Stags,46,57,2.35,1.74,1946-12-04,1947,NBA,Ironmen,,,1252.3871,1304.1698
Capitols,Steamrollers,80,62,1.57,2.74,1946-12-04,1947,NBA,Capitols,,,1373.3796,1276.9966
Celtics,Falcons,61,65,2.62,1.62,1946-12-05,1947,NBA,Celtics,,,1236.0254,1319.3087
Stags,Huskies,61,65,1.63,2.59,1946-12-05,1947,NBA,Stags,,,1317.2023,1236.2073
Warriors,Knicks,62,51,2.44,1.69,1946-12-05,1947,NBA,Warriors,,,1287.2725,1350.4919
Bombers,Ironmen,66,55,1.54,2.86,1946-12-05,1947,NBA,Bombers,,,1346.9624,1239.3546
Celtics,Knicks,65,90,2.9,1.53,1946-12-07,1947,NBA,Celtics,,,1229.3071,1340.9235
Stags,Rebels,86,78,2.06,1.94,1946-12-07,1947,NBA,Stags,,,1306.269,1316.7987
Steamrollers,Huskies,59,68,1.87,2.14,1946-12-07,1947,NBA,Steamrollers,,,1270.5713,1247.1405
Bombers,Warriors,47,57,1.73,2.37,1946-12-07,1947,NBA,Bombers,,,1351.3506,1296.8409
Capitols,Falcons,75,64,1.73,2.36,1946-12-07,1947,NBA,Capitols,,,1379.8049,1326.027
Rebels,Warriors,72,66,2.02,1.98,1946-12-08,1947,NBA,Rebels,,,1310.4608,1313.6263
Knicks,Celtics,62,44,1.43,3.35,1946-12-08,1947,NBA,Knicks,,,1359.2839,1210.9467
Ironmen,Falcons,58,66,2.63,1.61,1946-12-09,1947,NBA,Ironmen,,,1234.9664,1320.2988
Rebels,Bombers,61,62,2.11,1.9,1946-12-10,1947,NBA,Rebels,,,1315.6875,1334.5652
Huskies,Warriors,73,85,2.31,1.76,1946-12-10,1947,NBA,Huskies,,,1261.624,1308.3997
Stags,Rebels,88,79,1.99,2.01,1946-12-11,1947,NBA,Stags,,,1312.6069,1310.3738
Knicks,Steamrollers,83,68,1.54,2.86,1946-12-11,1947,NBA,Knicks,,,1364.1929,1256.0878
Capitols,Falcons,81,66,1.73,2.38,1946-12-11,1947,NBA,Capitols,,,1385.5331,1329.8735
Celtics,Falcons,73,66,2.96,1.51,1946-12-12,1947,NBA,Celtics,,,1206.0377,1322.9327
Warriors,Capitols,49,64,2.5,1.67,1946-12-12,1947,NBA,Warriors,,,1322.4008,1392.4739
Bombers,Stags,68,88,1.89,2.13,1946-12-12,1947,NBA,Bombers,,,1339.8789,1319.0311
Huskies,Ironmen,52,62,1.88,2.14,1946-12-13,1947,NBA,Huskies,,,1247.6229,1225.3917
Celtics,Warriors,77,65,2.7,1.59,1946-12-14,1947,NBA,Celtics,,,1214.9801,1307.4219
Steamrollers,Falcons,81,66,2.44,1.69,1946-12-14,1947,NBA,Steamrollers,,,1250.736,1313.9904
Capitols,Rebels,72,52,1.55,2.81,1946-12-14,1947,NBA,Capitols,,,1407.4528,1303.9496
Stags,Ironmen,84,75,1.55,2.8,1946-12-15,1947,NBA,Stags,,,1343.2291,1240.7815
Rebels,Knicks,70,52,2.52,1.66,1946-12-15,1947,NBA,Rebels,,,1297.2839,1369.5447
Bombers,Huskies,46,50,1.62,2.62,1946-12-15,1947,NBA,Bombers,,,1315.6809,1232.2332
Ironmen,Bombers,55,66,2.48,1.68,1946-12-16,1947,NBA,Ironmen,,,1236.7992,1304.6824
Rebels,Huskies,78,62,1.68,2.48,1946-12-17,1947,NBA,Rebels,,,1310.9967,1243.2317
Warriors,Falcons,57,49,2.04,1.97,1946-12-17,1947,NBA,Warriors,,,1296.1072,1302.2896
Knicks,Rebels,53,56,1.8,2.24,1946-12-18,1947,NBA,Knicks,,,1355.8319,1317.8322
Capitols,Bombers,68,47,1.57,2.75,1946-12-18,1947,NBA,Capitols,,,1414.1184,1317.0259
Celtics,Bombers,74,76,2.62,1.62,1946-12-19,1947,NBA,Celtics,,,1226.2948,1309.9017
Warriors,Rebels,58,44,2.15,1.87,1946-12-19,1947,NBA,Warriors,,,1302.3259,1326.4893
Steamrollers,Stags,81,77,2.63,1.61,1946-12-19,1947,NBA,Steamrollers,,,1262.4368,1347.2114
Huskies,Knicks,74,70,2.89,1.53,1946-12-20,1947,NBA,Huskies,,,1236.3962,1347.1748
Steamrollers,Knicks,63,61,2.52,1.66,1946-12-21,1947,NBA,Steamrollers,,,1268.4114,1340.5975
Capitols,Warriors,68,56,1.53,2.88,1946-12-21,1947,NBA,Capitols,,,1421.2426,1311.8464
Stags,Falcons,95,92,1.77,2.3,1946-12-22,1947,NBA,Stags,,,1341.2368,1296.0708
Rebels,Ironmen,74,78,1.59,2.7,1946-12-22,1947,NBA,Rebels,,,1316.9688,1224.4557
Bombers,Celtics,65,53,1.58,2.72,1946-12-22,1947,NBA,Bombers,,,1315.0287,1221.1678
Ironmen,Celtics,64,54,1.89,2.12,1946-12-23,1947,NBA,Ironmen,,,1235.696,1216.1962
Warriors,Ironmen,53,46,1.69,2.46,1946-12-26,1947,NBA,Warriors,,,1307.2515,1242.0328
Steamrollers,Capitols,66,78,3.41,1.41,1946-12-26,1947,NBA,Steamrollers,,,1272.7605,1425.8375
Bombers,Falcons,55,51,1.86,2.17,1946-12-26,1947,NBA,Bombers,,,1320.0004,1293.0409
Celtics,Warriors,60,63,2.79,1.56,1946-12-27,1947,NBA,Celtics,,,1209.8594,1311.3928
Huskies,Stags,80,88,2.79,1.56,1946-12-27,1947,NBA,Huskies,,,1242.9735,1344.2667
Steamrollers,Celtics,80,68,1.71,2.4,1946-12-28,1947,NBA,Steamrollers,,,1263.2903,1204.3003
Capitols,Knicks,70,49,1.57,2.77,1946-12-28,1947,NBA,Capitols,,,1435.3077,1336.2484
Rebels,Stags,79,87,2.32,1.76,1946-12-29,1947,NBA,Rebels,,,1305.7284,1353.3029
Falcons,Huskies,48,52,1.73,2.38,1946-12-29,1947,NBA,Falcons,,,1289.309,1233.9374
Bombers,Warriors,75,68,1.96,2.04,1946-12-29,1947,NBA,Bombers,,,1323.7323,1316.9519
Celtics,Capitols,60,70,5.07,1.25,1946-12-30,1947,NBA,Celtics,,,1198.3969,1442.3615
Ironmen,Warriors,60,62,2.53,1.65,1946-12-30,1947,NBA,Ironmen,,,1237.8915,1311.511
Rebels,Bombers,59,68,2.22,1.82,1946-12-31,1947,NBA,Rebels,,,1294.8324,1329.1732
Huskies,Stags,86,76,3.0,1.5,1946-12-31,1947,NBA,Huskies,,,1244.1897,1364.1989
Stags,Bombers,90,103,1.93,2.07,1947-01-01,1947,NBA,Stags,,,1353.0458,1341.3654
Falcons,Capitols,62,57,3.64,1.38,1947-01-01,1947,NBA,Falcons,,,1279.0566,1448.0177
Ironmen,Rebels,48,61,2.33,1.75,1947-01-01,1947,NBA,Ironmen,,,1232.5814,1282.6403
Warriors,Steamrollers,84,72,1.76,2.32,1947-01-02,1947,NBA,Warriors,,,1316.821,1269.1937
Bombers,Capitols,66,57,2.59,1.63,1947-01-02,1947,NBA,Bombers,,,1359.0022,1439.1101
Huskies,Celtics,53,58,1.7,2.43,1947-01-03,1947,NBA,Huskies,,,1255.3428,1192.7406
Falcons,Knicks,50,62,2.27,1.79,1947-01-04,1947,NBA,Falcons,,,1287.9642,1329.1947
Steamrollers,Warriors,78,74,2.41,1.71,1947-01-04,1947,NBA,Steamrollers,,,1262.9604,1323.0543
Capitols,Rebels,78,64,1.47,3.15,1947-01-04,1947,NBA,Capitols,,,1430.0768,1297.225
Bombers,Knicks,57,59,1.87,2.15,1947-01-05,1947,NBA,Bombers,,,1368.0355,1343.4509
Celtics,Rebels,53,64,2.66,1.6,1947-01-06,1947,NBA,Celtics,,,1204.3622,1292.7268
Ironmen,Capitols,49,63,4.48,1.29,1947-01-06,1947,NBA,Ironmen,,,1217.9967,1434.575
Huskies,Falcons,76,61,2.19,1.84,1947-01-06,1947,NBA,Huskies,,,1243.7212,1273.708
Falcons,Stags,80,83,2.51,1.66,1947-01-08,1947,NBA,Falcons,,,1263.4937,1335.4089
Knicks,Huskies,63,76,1.57,2.75,1947-01-08,1947,NBA,Knicks,,,1350.6637,1253.9355
Ironmen,Warriors,67,63,2.86,1.54,1947-01-08,1947,NBA,Ironmen,,,1210.0378,1317.6265
Capitols,Steamrollers,77,69,1.37,3.72,1947-01-08,1947,NBA,Capitols,,,1442.5338,1268.3883
Warriors,Huskies,74,55,1.82,2.22,1947-01-09,1947,NBA,Warriors,,,1311.1245,1275.9305
Steamrollers,Rebels,91,68,2.25,1.8,1947-01-09,1947,NBA,Steamrollers,,,1265.8407,1304.2137
Bombers,Stags,84,81,1.9,2.12,1947-01-09,1947,NBA,Bombers,,,1360.8228,1341.5894
Celtics,Knicks,66,62,3.19,1.46,1947-01-10,1947,NBA,Celtics,,,1192.8752,1328.6687
Falcons,Warriors,58,56,2.44,1.7,1947-01-11,1947,NBA,Falcons,,,1257.3132,1320.103
Steamrollers,Celtics,72,73,1.63,2.58,1947-01-11,1947,NBA,Steamrollers,,,1280.0374,1200.0544
Capitols,Huskies,81,66,1.36,3.79,1947-01-11,1947,NBA,Capitols,,,1445.0814,1266.952
Stags,Warriors,75,72,1.88,2.14,1947-01-12,1947,NBA,Stags,,,1338.1714,1315.9115
Bombers,Ironmen,72,59,1.43,3.34,1947-01-12,1947,NBA,Bombers,,,1364.2407,1216.5398
Ironmen,Knicks,50,53,2.87,1.53,1947-01-13,1947,NBA,Ironmen,,,1212.5773,1321.4895
Rebels,Steamrollers,74,78,1.91,2.1,1947-01-14,1947,NBA,Rebels,,,1290.0171,1273.0671
Huskies,Warriors,74,104,2.33,1.75,1947-01-14,1947,NBA,Huskies,,,1263.2552,1312.5405
Falcons,Stags,68,59,2.59,1.63,1947-01-15,1947,NBA,Falcons,,,1261.5048,1341.5424
Knicks,Capitols,63,65,3.02,1.5,1947-01-15,1947,NBA,Knicks,,,1326.8982,1448.7782
Ironmen,Steamrollers,65,53,2.54,1.65,1947-01-15,1947,NBA,Ironmen,,,1207.1686,1282.308
Celtics,Capitols,47,38,5.13,1.24,1947-01-16,1947,NBA,Celtics,,,1207.0247,1453.2283
Warriors,Stags,78,84,1.97,2.04,1947-01-16,1947,NBA,Warriors,,,1338.6333,1332.5114
Bombers,Rebels,59,63,1.6,2.65,1947-01-16,1947,NBA,Bombers,,,1368.2032,1280.7762
Huskies,Falcons,64,74,2.21,1.83,1947-01-17,1947,NBA,Huskies,,,1237.1625,1270.5358
Knicks,Celtics,45,58,1.56,2.78,1947-01-18,1947,NBA,Knicks,,,1322.4481,1222.4307
Capitols,Stags,87,72,1.58,2.72,1947-01-18,1947,NBA,Capitols,,,1437.8223,1343.4651
Rebels,Knicks,79,72,2.05,1.95,1947-01-19,1947,NBA,Rebels,,,1291.8809,1300.2828
Bombers,Steamrollers,69,53,1.61,2.63,1947-01-19,1947,NBA,Bombers,,,1357.0986,1271.7136
Celtics,Stags,54,81,2.71,1.59,1947-01-20,1947,NBA,Celtics,,,1244.5959,1337.7271
Ironmen,Falcons,62,57,2.46,1.68,1947-01-20,1947,NBA,Ironmen,,,1217.7629,1283.5742
Warriors,Celtics,59,43,1.55,2.82,1947-01-21,1947,NBA,Warriors,,,1327.6796,1223.8215
Huskies,Bombers,72,71,3.23,1.45,1947-01-21,1947,NBA,Huskies,,,1224.124,1363.3656
Falcons,Rebels,47,61,2.12,1.89,1947-01-22,1947,NBA,Falcons,,,1277.3961,1297.6993
Knicks,Stags,74,64,2.45,1.69,1947-01-22,1947,NBA,Knicks,,,1294.4644,1358.5015
Capitols,Warriors,57,55,1.53,2.89,1947-01-22,1947,NBA,Capitols,,,1443.5603,1333.3901
Celtics,Ironmen,48,43,2.03,1.97,1947-01-23,1947,NBA,Celtics,,,1218.111,1223.941
Stags,Steamrollers,97,76,1.62,2.62,1947-01-23,1947,NBA,Stags,,,1349.4546,1265.4467
Warriors,Rebels,83,78,1.91,2.1,1947-01-23,1947,NBA,Warriors,,,1331.4896,1314.5339
Huskies,Steamrollers,93,96,2.18,1.85,1947-01-24,1947,NBA,Huskies,,,1228.7662,1257.84
Falcons,Warriors,55,61,2.54,1.65,1947-01-25,1947,NBA,Falcons,,,1260.5615,1335.8369
Knicks,Celtics,46,52,1.63,2.59,1947-01-25,1947,NBA,Knicks,,,1303.5112,1222.9237
Capitols,Ironmen,84,71,1.27,4.68,1947-01-25,1947,NBA,Capitols,,,1445.4608,1219.1283
Stags,Warriors,63,57,1.93,2.08,1947-01-26,1947,NBA,Stags,,,1357.0613,1344.2861
Bombers,Falcons,71,66,1.54,2.85,1947-01-26,1947,NBA,Bombers,,,1358.7234,1252.1123
Celtics,Capitols,57,80,4.38,1.3,1947-01-27,1947,NBA,Celtics,,,1236.2783,1448.0367
Ironmen,Steamrollers,71,63,2.32,1.76,1947-01-27,1947,NBA,Ironmen,,,1216.5524,1264.9603
Huskies,Rebels,82,88,2.66,1.6,1947-01-27,1947,NBA,Huskies,,,1221.6459,1310.1866
Rebels,Huskies,80,70,1.55,2.83,1947-01-28,1947,NBA,Rebels,,,1318.2482,1213.5844
Falcons,Steamrollers,73,83,2.05,1.95,1947-01-29,1947,NBA,Falcons,,,1249.2936,1257.5262
Knicks,Ironmen,64,60,1.68,2.46,1947-01-29,1947,NBA,Knicks,,,1290.1566,1223.9865
Capitols,Celtics,69,57,1.26,4.86,1947-01-29,1947,NBA,Capitols,,,1459.4639,1224.8512
Celtics,Ironmen,66,51,1.99,2.01,1947-01-30,1947,NBA,Celtics,,,1222.5165,1220.8876
Warriors,Knicks,65,58,1.77,2.3,1947-01-30,1947,NBA,Warriors,,,1339.418,1293.2555
Bombers,Steamrollers,70,81,1.6,2.68,1947-01-30,1947,NBA,Bombers,,,1361.5421,1271.6172
Huskies,Capitols,83,74,5.28,1.23,1947-01-31,1947,NBA,Huskies,,,1209.3862,1461.7986
Knicks,Warriors,63,71,2.37,1.73,1947-02-01,1947,NBA,Knicks,,,1288.7175,1343.9559
Steamrollers,Ironmen,89,73,1.63,2.58,1947-02-01,1947,NBA,Steamrollers,,,1291.0675,1211.9781
Bombers,Rebels,70,48,1.89,2.12,1947-02-01,1947,NBA,Bombers,,,1342.0918,1322.4463
Stags,Huskies,90,75,1.45,3.2,1947-02-02,1947,NBA,Stags,,,1361.9294,1225.045
Rebels,Capitols,81,107,3.17,1.46,1947-02-02,1947,NBA,Rebels,,,1311.7612,1446.1398
Falcons,Knicks,65,63,2.28,1.78,1947-02-02,1947,NBA,Falcons,,,1235.2026,1278.0945
Celtics,Warriors,55,61,3.03,1.49,1947-02-03,1947,NBA,Celtics,,,1231.4259,1354.579
Ironmen,Bombers,68,63,3.33,1.43,1947-02-03,1947,NBA,Ironmen,,,1205.5123,1352.7769
Warriors,Steamrollers,75,68,1.69,2.45,1947-02-04,1947,NBA,Warriors,,,1361.6659,1297.5333
Falcons,Capitols,46,67,4.64,1.27,1947-02-05,1947,NBA,Falcons,,,1239.0707,1463.437
Knicks,Bombers,46,71,2.5,1.67,1947-02-05,1947,NBA,Knicks,,,1274.2264,1344.474
Ironmen,Huskies,55,58,2.04,1.96,1947-02-05,1947,NBA,Ironmen,,,1213.8152,1220.4349
Celtics,Knicks,49,48,2.18,1.85,1947-02-06,1947,NBA,Celtics,,,1224.339,1252.9094
Stags,Ironmen,109,85,1.4,3.52,1947-02-06,1947,NBA,Stags,,,1366.5396,1206.1873
Warriors,Huskies,79,61,1.45,3.21,1947-02-06,1947,NBA,Warriors,,,1365.8291,1228.0629
Steamrollers,Bombers,65,73,2.52,1.66,1947-02-06,1947,NBA,Steamrollers,,,1293.3701,1365.791
Falcons,Ironmen,64,58,1.85,2.18,1947-02-08,1947,NBA,Falcons,,,1228.9501,1200.5582
Knicks,Huskies,69,46,1.86,2.17,1947-02-08,1947,NBA,Knicks,,,1249.8612,1222.8718
Steamrollers,Warriors,67,58,2.66,1.6,1947-02-08,1947,NBA,Steamrollers,,,1283.3506,1371.0201
Bombers,Capitols,65,68,2.76,1.57,1947-02-08,1947,NBA,Bombers,,,1375.8105,1473.5576
Stags,Capitols,85,67,2.85,1.54,1947-02-09,1947,NBA,Stags,,,1372.1686,1479.1947
Rebels,Falcons,69,74,1.7,2.42,1947-02-09,1947,NBA,Rebels,,,1294.464,1233.483
Ironmen,Capitols,75,69,5.67,1.21,1947-02-10,1947,NBA,Ironmen,,,1196.0253,1463.5684
Rebels,Steamrollers,85,76,2.06,1.95,1947-02-11,1947,NBA,Rebels,,,1282.8903,1292.6475
Warriors,Bombers,75,59,2.05,1.95,1947-02-11,1947,NBA,Warriors,,,1361.7233,1370.1735
Falcons,Steamrollers,84,64,2.26,1.79,1947-02-12,1947,NBA,Falcons,,,1245.0568,1285.8755
Knicks,Capitols,76,72,3.99,1.33,1947-02-12,1947,NBA,Knicks,,,1260.5216,1450.6381
Ironmen,Stags,82,101,3.8,1.36,1947-02-12,1947,NBA,Ironmen,,,1208.9556,1387.7949
Celtics,Bombers,64,54,3.15,1.46,1947-02-13,1947,NBA,Celtics,,,1227.3872,1360.4482
Stags,Steamrollers,81,79,1.48,3.07,1947-02-13,1947,NBA,Stags,,,1399.3475,1272.8743
Warriors,Rebels,61,48,1.62,2.6,1947-02-13,1947,NBA,Warriors,,,1371.4485,1289.6622
Huskies,Ironmen,84,73,1.92,2.09,1947-02-14,1947,NBA,Huskies,,,1212.2114,1197.403
Knicks,Rebels,84,90,2.09,1.92,1947-02-15,1947,NBA,Knicks,,,1269.0665,1284.1017
Steamrollers,Ironmen,82,72,1.63,2.59,1947-02-15,1947,NBA,Steamrollers,,,1271.1272,1190.5342
Capitols,Warriors,70,60,1.69,2.45,1947-02-15,1947,NBA,Capitols,,,1442.0931,1377.009
Stags,Celtics,84,77,1.39,3.54,1947-02-16,1947,NBA,Stags,,,1401.0946,1239.058
Rebels,Warriors,75,71,2.56,1.64,1947-02-16,1947,NBA,Rebels,,,1294.3878,1371.8971
Falcons,Knicks,58,66,2.0,2.0,1947-02-16,1947,NBA,Falcons,,,1258.058,1258.7804
Bombers,Huskies,80,64,1.47,3.11,1947-02-16,1947,NBA,Bombers,,,1348.7775,1219.0802
Ironmen,Falcons,63,59,2.41,1.71,1947-02-17,1947,NBA,Ironmen,,,1185.7968,1245.4514
Rebels,Celtics,84,73,1.69,2.44,1947-02-18,1947,NBA,Rebels,,,1300.1989,1236.5378
Huskies,Bombers,65,57,3.23,1.45,1947-02-18,1947,NBA,Huskies,,,1214.0817,1353.776
Falcons,Celtics,51,57,1.95,2.05,1947-02-19,1947,NBA,Falcons,,,1240.0331,1231.0762
Knicks,Steamrollers,62,69,2.03,1.97,1947-02-19,1947,NBA,Knicks,,,1271.387,1275.8646
Capitols,Huskies,69,59,1.28,4.6,1947-02-19,1947,NBA,Capitols,,,1447.2051,1224.5254
Stags,Falcons,74,76,1.37,3.73,1947-02-20,1947,NBA,Stags,,,1403.6147,1228.9891
Warriors,Ironmen,78,66,1.37,3.74,1947-02-20,1947,NBA,Warriors,,,1366.0861,1191.2151
Steamrollers,Capitols,74,82,3.54,1.39,1947-02-20,1947,NBA,Steamrollers,,,1287.4165,1449.432
Knicks,Ironmen,77,49,1.66,2.51,1947-02-21,1947,NBA,Knicks,,,1259.8351,1187.9629
Bombers,Stags,65,60,2.33,1.75,1947-02-21,1947,NBA,Bombers,,,1343.3323,1393.3439
Huskies,Celtics,67,61,2.12,1.89,1947-02-21,1947,NBA,Huskies,,,1222.2985,1242.1201
Steamrollers,Rebels,85,77,2.16,1.86,1947-02-22,1947,NBA,Steamrollers,,,1280.2942,1305.6605
Capitols,Ironmen,93,61,1.2,5.97,1947-02-22,1947,NBA,Capitols,,,1456.5543,1178.0515
Celtics,Steamrollers,55,67,2.34,1.75,1947-02-23,1947,NBA,Celtics,,,1236.5012,1287.0493
Stags,Knicks,82,68,1.51,2.97,1947-02-23,1947,NBA,Stags,,,1387.5441,1269.7465
Rebels,Capitols,83,91,3.53,1.4,1947-02-23,1947,NBA,Rebels,,,1298.9054,1460.1313
Falcons,Huskies,61,52,1.94,2.07,1947-02-23,1947,NBA,Falcons,,,1239.26,1227.9174
