home_team,away_team,home_score,away_score,home_odds,away_odds,date,stadium,attendance,season,league,pitcher_home,pitcher_away,weather,runs,hits,errors
Houston Astros,Montreal Expos,7,6,1.95,1.95,2000-08-05,Enron Field,,2000,MLB,,,,13,26,1
Chicago White Sox,Oakland Athletics,3,5,1.95,1.95,2000-08-05,Comiskey Park,,2000,MLB,,,,8,16,0
St. Louis Cardinals,Atlanta Braves,4,6,1.95,1.95,2000-08-05,Busch Stadium I,,2000,MLB,,,,10,20,6
Colorado Rockies,Philadelphia Phillies,8,1,1.95,1.95,2000-08-05,Coors Field,,2000,MLB,,,,9,20,3
Arizona Diamondbacks,New York Mets,1,6,1.95,1.95,2000-08-05,Bank One Ballpark,,2000,MLB,,,,7,17,1
San Diego Padres,Chicago Cubs,11,9,1.95,1.95,2000-08-05,Qualcomm Stadium,,2000,MLB,,,,20,26,1
Los Angeles Dodgers,Milwaukee Brewers,2,1,1.95,1.95,2000-08-05,Dodger Stadium,,2000,MLB,,,,3,13,0
San Francisco Giants,Pittsburgh Pirates,5,3,1.95,1.95,2000-08-05,PacBell Park,,2000,MLB,,,,8,21,2
Boston Red Sox,Kansas City Royals,5,7,1.95,1.95,2000-08-05,Fenway Park,,2000,MLB,,,,12,21,2
St. Louis Cardinals,Atlanta Braves,5,0,1.95,1.95,2000-08-05,Busch Stadium I,,2000,MLB,,,,5,13,1
Cleveland Indians,Anaheim Angels,6,3,1.95,1.95,2000-08-05,Jacobs Field,,2000,MLB,,,,9,22,1
San Diego Padres,Chicago Cubs,3,6,1.95,1.95,2000-08-05,Qualcomm Stadium,,2000,MLB,,,,9,18,0
San Francisco Giants,Pittsburgh Pirates,2,7,1.95,1.95,2000-08-05,PacBell Park,,2000,MLB,,,,9,22,1
Toronto Blue Jays,Texas Rangers,8,5,1.95,1.95,2000-08-05,SkyDome,,2000,MLB,,,,13,23,3
Colorado Rockies,Philadelphia Phillies,7,6,1.95,1.95,2000-08-05,Coors Field,,2000,MLB,,,,13,24,3
Tampa Bay Devil Rays,Baltimore Orioles,5,4,1.95,1.95,2000-08-05,Tropicana Field,,2000,MLB,,,,9,15,3
New York Yankees,Seattle Mariners,5,6,1.95,1.95,2000-08-05,Yankee Stadium I,,2000,MLB,,,,11,21,1
Detroit Tigers,Minnesota Twins,4,3,1.95,1.95,2000-08-05,Comerica Park,,2000,MLB,,,,7,15,1
Chicago White Sox,Oakland Athletics,4,3,1.95,1.95,2000-08-05,Comiskey Park,,2000,MLB,,,,7,16,2
Cincinnati Reds,Florida Marlins,5,10,1.95,1.95,2000-08-05,Cinergy Field,,2000,MLB,,,,15,28,1
Houston Astros,Montreal Expos,9,10,1.95,1.95,2000-08-06,Enron Field,,2000,MLB,,,,19,29,2
Arizona Diamondbacks,New York Mets,2,6,1.95,1.95,2000-08-06,Bank One Ballpark,,2000,MLB,,,,8,25,0
Los Angeles Dodgers,Milwaukee Brewers,2,4,1.95,1.95,2000-08-06,Dodger Stadium,,2000,MLB,,,,6,17,0
Cleveland Indians,Anaheim Angels,5,2,1.95,1.95,2000-08-06,Jacobs Field,,2000,MLB,,,,7,17,2
Boston Red Sox,Kansas City Royals,1,3,1.95,1.95,2000-08-06,Fenway Park,,2000,MLB,,,,4,18,1
Toronto Blue Jays,Texas Rangers,6,11,1.95,1.95,2000-08-06,SkyDome,,2000,MLB,,,,17,26,2
Detroit Tigers,Minnesota Twins,3,7,1.95,1.95,2000-08-06,Comerica Park,,2000,MLB,,,,10,20,1
New York Yankees,Seattle Mariners,1,11,1.95,1.95,2000-08-06,Yankee Stadium I,,2000,MLB,,,,12,24,0
Tampa Bay Devil Rays,Baltimore Orioles,7,4,1.95,1.95,2000-08-06,Tropicana Field,,2000,MLB,,,,11,20,0
Cincinnati Reds,Florida Marlins,6,9,1.95,1.95,2000-08-06,Cinergy Field,,2000,MLB,,,,15,21,3
Chicago White Sox,Oakland Athletics,13,0,1.95,1.95,2000-08-06,Comiskey Park,,2000,MLB,,,,13,20,2
Houston Astros,Montreal Expos,8,1,1.95,1.95,2000-08-06,Enron Field,,2000,MLB,,,,9,16,0
Colorado Rockies,Philadelphia Phillies,9,10,1.95,1.95,2000-08-06,Coors Field,,2000,MLB,,,,19,29,1
San Francisco Giants,Pittsburgh Pirates,7,1,1.95,1.95,2000-08-06,PacBell Park,,2000,MLB,,,,8,19,3
Arizona Diamondbacks,New York Mets,9,5,1.95,1.95,2000-08-06,Bank One Ballpark,,2000,MLB,,,,14,25,0
San Diego Padres,Chicago Cubs,8,6,1.95,1.95,2000-08-06,Qualcomm Stadium,,2000,MLB,,,,14,23,0
St. Louis Cardinals,Atlanta Braves,4,6,1.95,1.95,2000-08-07,Busch Stadium I,,2000,MLB,,,,10,19,3
Los Angeles Dodgers,Milwaukee Brewers,6,9,1.95,1.95,2000-08-07,Dodger Stadium,,2000,MLB,,,,15,27,1
New York Yankees,Seattle Mariners,5,8,1.95,1.95,2000-08-07,Yankee Stadium I,,2000,MLB,,,,13,24,0
Detroit Tigers,Baltimore Orioles,3,4,1.95,1.95,2000-08-07,Comerica Park,,2000,MLB,,,,7,18,1
Cleveland Indians,Texas Rangers,2,0,1.95,1.95,2000-08-07,Jacobs Field,,2000,MLB,,,,2,12,0
Tampa Bay Devil Rays,Minnesota Twins,2,4,1.95,1.95,2000-08-07,Tropicana Field,,2000,MLB,,,,6,15,3
Philadelphia Phillies,San Diego Padres,4,6,1.95,1.95,2000-08-07,Veterans Stadium,,2000,MLB,,,,10,19,1
Cincinnati Reds,Atlanta Braves,3,2,1.95,1.95,2000-08-07,Cinergy Field,,2000,MLB,,,,5,23,1
Houston Astros,New York Mets,5,6,1.95,1.95,2000-08-08,Enron Field,,2000,MLB,,,,11,20,3
Kansas City Royals,Toronto Blue Jays,8,7,1.95,1.95,2000-08-08,Kauffman Stadium,,2000,MLB,,,,15,28,1
St. Louis Cardinals,Florida Marlins,2,1,1.95,1.95,2000-08-08,Busch Stadium I,,2000,MLB,,,,3,13,3
Colorado Rockies,Pittsburgh Pirates,7,8,1.95,1.95,2000-08-08,Coors Field,,2000,MLB,,,,15,25,4
Anaheim Angels,Boston Red Sox,4,1,1.95,1.95,2000-08-08,Edison International Field,,2000,MLB,,,,5,15,0
Arizona Diamondbacks,Montreal Expos,5,2,1.95,1.95,2000-08-08,Bank One Ballpark,,2000,MLB,,,,7,17,1
Los Angeles Dodgers,Chicago Cubs,3,7,1.95,1.95,2000-08-08,Dodger Stadium,,2000,MLB,,,,10,17,3
San Francisco Giants,Milwaukee Brewers,8,1,1.95,1.95,2000-08-08,PacBell Park,,2000,MLB,,,,9,17,0
Chicago White Sox,Seattle Mariners,4,12,1.95,1.95,2000-08-08,Comiskey Park,,2000,MLB,,,,16,27,1
Chicago White Sox,Seattle Mariners,5,7,1.95,1.95,2000-08-09,Comiskey Park,,2000,MLB,,,,12,17,1
Detroit Tigers,Baltimore Orioles,4,1,1.95,1.95,2000-08-08,Comerica Park,,2000,MLB,,,,5,15,0
Cleveland Indians,Texas Rangers,2,11,1.95,1.95,2000-08-08,Jacobs Field,,2000,MLB,,,,13,27,0
New York Yankees,Oakland Athletics,4,3,1.95,1.95,2000-08-08,Yankee Stadium I,,2000,MLB,,,,7,13,1
Tampa Bay Devil Rays,Minnesota Twins,5,0,1.95,1.95,2000-08-08,Tropicana Field,,2000,MLB,,,,5,14,1
Philadelphia Phillies,San Diego Padres,10,4,1.95,1.95,2000-08-08,Veterans Stadium,,2000,MLB,,,,14,22,1
Cincinnati Reds,Atlanta Braves,4,5,1.95,1.95,2000-08-08,Cinergy Field,,2000,MLB,,,,9,20,1
Houston Astros,New York Mets,9,3,1.95,1.95,2000-08-09,Enron Field,,2000,MLB,,,,12,21,2
Kansas City Royals,Toronto Blue Jays,1,6,1.95,1.95,2000-08-09,Kauffman Stadium,,2000,MLB,,,,7,18,0
St. Louis Cardinals,Florida Marlins,0,7,1.95,1.95,2000-08-09,Busch Stadium I,,2000,MLB,,,,7,16,1
Colorado Rockies,Pittsburgh Pirates,6,1,1.95,1.95,2000-08-09,Coors Field,,2000,MLB,,,,7,25,0
Anaheim Angels,Boston Red Sox,2,1,1.95,1.95,2000-08-09,Edison International Field,,2000,MLB,,,,3,5,1
Arizona Diamondbacks,Montreal Expos,3,9,1.95,1.95,2000-08-09,Bank One Ballpark,,2000,MLB,,,,12,25,1
Los Angeles Dodgers,Chicago Cubs,7,5,1.95,1.95,2000-08-09,Dodger Stadium,,2000,MLB,,,,12,21,1
San Francisco Giants,Milwaukee Brewers,1,0,1.95,1.95,2000-08-09,PacBell Park,,2000,MLB,,,,1,8,1
St. Louis Cardinals,Florida Marlins,3,5,1.95,1.95,2000-08-09,Busch Stadium I,,2000,MLB,,,,8,18,2
Colorado Rockies,Pittsburgh Pirates,4,3,1.95,1.95,2000-08-09,Coors Field,,2000,MLB,,,,7,14,3
San Francisco Giants,Milwaukee Brewers,9,3,1.95,1.95,2000-08-09,PacBell Park,,2000,MLB,,,,12,19,0
Detroit Tigers,Baltimore Orioles,2,5,1.95,1.95,2000-08-09,Comerica Park,,2000,MLB,,,,7,18,2
Cleveland Indians,Texas Rangers,6,4,1.95,1.95,2000-08-09,Jacobs Field,,2000,MLB,,,,10,15,0
Cincinnati Reds,Atlanta Braves,10,6,1.95,1.95,2000-08-09,Cinergy Field,,2000,MLB,,,,16,21,1
New York Yankees,Oakland Athletics,12,1,1.95,1.95,2000-08-09,Yankee Stadium I,,2000,MLB,,,,13,21,4
Tampa Bay Devil Rays,Minnesota Twins,5,4,1.95,1.95,2000-08-09,Tropicana Field,,2000,MLB,,,,9,24,1
Philadelphia Phillies,San Diego Padres,3,2,1.95,1.95,2000-08-09,Veterans Stadium,,2000,MLB,,,,5,15,1
Houston Astros,New York Mets,5,12,1.95,1.95,2000-08-10,Enron Field,,2000,MLB,,,,17,25,2
Kansas City Royals,Toronto Blue Jays,5,3,1.95,1.95,2000-08-10,Kauffman Stadium,,2000,MLB,,,,8,21,1
Chicago White Sox,Seattle Mariners,19,3,1.95,1.95,2000-08-10,Comiskey Park,,2000,MLB,,,,22,32,1
Anaheim Angels,Boston Red Sox,2,4,1.95,1.95,2000-08-10,Edison International Field,,2000,MLB,,,,6,14,0
Los Angeles Dodgers,Chicago Cubs,4,5,1.95,1.95,2000-08-10,Dodger Stadium,,2000,MLB,,,,9,18,2
Arizona Diamondbacks,Montreal Expos,3,4,1.95,1.95,2000-08-10,Bank One Ballpark,,2000,MLB,,,,7,23,0
New York Yankees,Oakland Athletics,12,6,1.95,1.95,2000-08-10,Yankee Stadium I,,2000,MLB,,,,18,28,0
Tampa Bay Devil Rays,Minnesota Twins,10,4,1.95,1.95,2000-08-10,Tropicana Field,,2000,MLB,,,,14,16,2
Detroit Tigers,Baltimore Orioles,14,3,1.95,1.95,2000-08-10,Comerica Park,,2000,MLB,,,,17,20,4
Kansas City Royals,Toronto Blue Jays,7,15,1.95,1.95,2000-08-10,Kauffman Stadium,,2000,MLB,,,,22,31,1
Chicago White Sox,Seattle Mariners,3,6,1.95,1.95,2000-08-10,Comiskey Park,,2000,MLB,,,,9,20,0
St. Louis Cardinals,Colorado Rockies,5,4,1.95,1.95,2000-08-10,Busch Stadium I,,2000,MLB,,,,9,22,1
Houston Astros,New York Mets,3,10,1.95,1.95,2000-08-10,Enron Field,,2000,MLB,,,,13,26,2
Philadelphia Phillies,San Diego Padres,3,15,1.95,1.95,2000-08-10,Veterans Stadium,,2000,MLB,,,,18,27,3
Chicago Cubs,Cincinnati Reds,4,6,1.95,1.95,2000-08-11,Wrigley Field,,2000,MLB,,,,10,17,3
Montreal Expos,Colorado Rockies,3,10,1.95,1.95,2000-08-11,Olympic Stadium,,2000,MLB,,,,13,24,0
Pittsburgh Pirates,Arizona Diamondbacks,1,6,1.95,1.95,2000-08-11,Three Rivers Stadium,,2000,MLB,,,,7,14,1
Florida Marlins,San Diego Padres,0,3,1.95,1.95,2000-08-11,Pro Player Stadium,,2000,MLB,,,,3,12,3
New York Mets,San Francisco Giants,4,1,1.95,1.95,2000-08-11,Shea Stadium,,2000,MLB,,,,5,12,0
Tampa Bay Devil Rays,Chicago White Sox,5,6,1.95,1.95,2000-08-11,Tropicana Field,,2000,MLB,,,,11,14,0
Philadelphia Phillies,Houston Astros,2,7,1.95,1.95,2000-08-11,Veterans Stadium,,2000,MLB,,,,9,19,1
Atlanta Braves,Los Angeles Dodgers,7,2,1.95,1.95,2000-08-11,Turner Field,,2000,MLB,,,,9,17,1
Kansas City Royals,Baltimore Orioles,7,6,1.95,1.95,2000-08-12,Kauffman Stadium,,2000,MLB,,,,13,19,5
Minnesota Twins,Toronto Blue Jays,9,4,1.95,1.95,2000-08-12,Hubert H. Humphrey Metrodome,,2000,MLB,,,,13,21,1
Milwaukee Brewers,St. Louis Cardinals,6,2,1.95,1.95,2000-08-12,Milwaukee County Stadium,,2000,MLB,,,,8,15,0
Texas Rangers,Boston Red Sox,3,7,1.95,1.95,2000-08-12,The Ballpark at Arlington,,2000,MLB,,,,10,18,2
Oakland Athletics,Detroit Tigers,4,11,1.95,1.95,2000-08-12,Network Associates Coliseum,,2000,MLB,,,,15,24,4
Seattle Mariners,Cleveland Indians,7,1,1.95,1.95,2000-08-12,Safeco Field,,2000,MLB,,,,8,16,1
Anaheim Angels,New York Yankees,8,3,1.95,1.95,2000-08-12,Edison International Field,,2000,MLB,,,,11,21,1
Chicago Cubs,Cincinnati Reds,0,3,1.95,1.95,2000-08-12,Wrigley Field,,2000,MLB,,,,3,12,0
Philadelphia Phillies,Houston Astros,3,2,1.95,1.95,2000-08-12,Veterans Stadium,,2000,MLB,,,,5,13,1
Milwaukee Brewers,St. Louis Cardinals,1,2,1.95,1.95,2000-08-12,Milwaukee County Stadium,,2000,MLB,,,,3,16,1
Oakland Athletics,Detroit Tigers,9,5,1.95,1.95,2000-08-12,Network Associates Coliseum,,2000,MLB,,,,14,20,1
Seattle Mariners,Cleveland Indians,4,5,1.95,1.95,2000-08-12,Safeco Field,,2000,MLB,,,,9,14,3
Atlanta Braves,Los Angeles Dodgers,4,1,1.95,1.95,2000-08-12,Turner Field,,2000,MLB,,,,5,13,2
Tampa Bay Devil Rays,Chicago White Sox,4,5,1.95,1.95,2000-08-12,Tropicana Field,,2000,MLB,,,,9,21,0
Montreal Expos,Colorado Rockies,2,14,1.95,1.95,2000-08-12,Olympic Stadium,,2000,MLB,,,,16,28,2
Pittsburgh Pirates,Arizona Diamondbacks,9,6,1.95,1.95,2000-08-12,Three Rivers Stadium,,2000,MLB,,,,15,21,2
Minnesota Twins,Toronto Blue Jays,6,3,1.95,1.95,2000-08-12,Hubert H. Humphrey Metrodome,,2000,MLB,,,,9,23,4
Florida Marlins,San Diego Padres,1,2,1.95,1.95,2000-08-12,Pro Player Stadium,,2000,MLB,,,,3,14,0
New York Mets,San Francisco Giants,3,2,1.95,1.95,2000-08-12,Shea Stadium,,2000,MLB,,,,5,12,3
Kansas City Royals,Baltimore Orioles,11,12,1.95,1.95,2000-08-13,Kauffman Stadium,,2000,MLB,,,,23,25,2
Texas Rangers,Boston Red Sox,6,3,1.95,1.95,2000-08-13,The Ballpark at Arlington,,2000,MLB,,,,9,12,2
Anaheim Angels,New York Yankees,9,6,1.95,1.95,2000-08-13,Edison International Field,,2000,MLB,,,,15,22,0
New York Mets,San Francisco Giants,2,0,1.95,1.95,2000-08-13,Shea Stadium,,2000,MLB,,,,2,9,1
Atlanta Braves,Los Angeles Dodgers,2,7,1.95,1.95,2000-08-13,Turner Field,,2000,MLB,,,,9,25,2
Tampa Bay Devil Rays,Chicago White Sox,5,3,1.95,1.95,2000-08-13,Tropicana Field,,2000,MLB,,,,8,13,1
Montreal Expos,Colorado Rockies,3,5,1.95,1.95,2000-08-13,Olympic Stadium,,2000,MLB,,,,8,19,2
Pittsburgh Pirates,Arizona Diamondbacks,6,7,1.95,1.95,2000-08-13,Three Rivers Stadium,,2000,MLB,,,,13,26,0
Philadelphia Phillies,Houston Astros,7,14,1.95,1.95,2000-08-13,Veterans Stadium,,2000,MLB,,,,21,27,4
Kansas City Royals,Baltimore Orioles,10,5,1.95,1.95,2000-08-13,Kauffman Stadium,,2000,MLB,,,,15,26,2
Minnesota Twins,Toronto Blue Jays,3,13,1.95,1.95,2000-08-13,Hubert H. Humphrey Metrodome,,2000,MLB,,,,16,28,1
Milwaukee Brewers,St. Louis Cardinals,4,6,1.95,1.95,2000-08-13,Milwaukee County Stadium,,2000,MLB,,,,10,21,3
Oakland Athletics,Detroit Tigers,3,5,1.95,1.95,2000-08-13,Network Associates Coliseum,,2000,MLB,,,,8,21,1
Florida Marlins,San Diego Padres,3,7,1.95,1.95,2000-08-13,Pro Player Stadium,,2000,MLB,,,,10,19,1
Seattle Mariners,Cleveland Indians,4,10,1.95,1.95,2000-08-13,Safeco Field,,2000,MLB,,,,14,19,4
Chicago Cubs,Cincinnati Reds,0,3,1.95,1.95,2000-08-14,Wrigley Field,,2000,MLB,,,,3,13,1
Texas Rangers,Boston Red Sox,2,4,1.95,1.95,2000-08-14,The Ballpark at Arlington,,2000,MLB,,,,6,13,2
Anaheim Angels,New York Yankees,1,4,1.95,1.95,2000-08-14,Edison International Field,,2000,MLB,,,,5,9,0
Montreal Expos,Colorado Rockies,3,4,1.95,1.95,2000-08-14,Olympic Stadium,,2000,MLB,,,,7,22,0
Boston Red Sox,Tampa Bay Devil Rays,7,3,1.95,1.95,2000-08-14,Fenway Park,,2000,MLB,,,,10,20,5
Florida Marlins,Los Angeles Dodgers,11,2,1.95,1.95,2000-08-14,Pro Player Stadium,,2000,MLB,,,,13,22,3
New York Mets,San Francisco Giants,1,11,1.95,1.95,2000-08-14,Shea Stadium,,2000,MLB,,,,12,16,3
Philadelphia Phillies,Arizona Diamondbacks,3,4,1.95,1.95,2000-08-14,Veterans Stadium,,2000,MLB,,,,7,13,1
Baltimore Orioles,Chicago White Sox,8,2,1.95,1.95,2000-08-14,Oriole Park at Camden Yards,,2000,MLB,,,,10,21,3
Atlanta Braves,San Diego Padres,9,2,1.95,1.95,2000-08-14,Turner Field,,2000,MLB,,,,11,20,0
Houston Astros,Pittsburgh Pirates,16,2,1.95,1.95,2000-08-15,Enron Field,,2000,MLB,,,,18,24,0
Chicago Cubs,St. Louis Cardinals,7,3,1.95,1.95,2000-08-15,Wrigley Field,,2000,MLB,,,,10,19,0
Milwaukee Brewers,Cincinnati Reds,4,3,1.95,1.95,2000-08-15,Milwaukee County Stadium,,2000,MLB,,,,7,16,3
Texas Rangers,New York Yankees,3,7,1.95,1.95,2000-08-15,The Ballpark at Arlington,,2000,MLB,,,,10,16,3
Oakland Athletics,Cleveland Indians,8,1,1.95,1.95,2000-08-15,Network Associates Coliseum,,2000,MLB,,,,9,21,2
Seattle Mariners,Detroit Tigers,4,15,1.95,1.95,2000-08-15,Safeco Field,,2000,MLB,,,,19,30,2
Chicago Cubs,St. Louis Cardinals,2,4,1.95,1.95,2000-08-15,Wrigley Field,,2000,MLB,,,,6,18,0
New York Mets,Colorado Rockies,7,5,1.95,1.95,2000-08-15,Shea Stadium,,2000,MLB,,,,12,18,3
New York Mets,Colorado Rockies,4,3,1.95,1.95,2000-08-15,Shea Stadium,,2000,MLB,,,,7,14,2
Montreal Expos,San Francisco Giants,7,9,1.95,1.95,2000-08-15,Olympic Stadium,,2000,MLB,,,,16,20,0
Boston Red Sox,Tampa Bay Devil Rays,1,3,1.95,1.95,2000-08-15,Fenway Park,,2000,MLB,,,,4,20,2
Toronto Blue Jays,Anaheim Angels,4,8,1.95,1.95,2000-08-15,SkyDome,,2000,MLB,,,,12,20,1
Florida Marlins,Los Angeles Dodgers,7,3,1.95,1.95,2000-08-15,Pro Player Stadium,,2000,MLB,,,,10,18,3
Philadelphia Phillies,Arizona Diamondbacks,6,11,1.95,1.95,2000-08-15,Veterans Stadium,,2000,MLB,,,,17,29,1
Baltimore Orioles,Chicago White Sox,4,14,1.95,1.95,2000-08-15,Oriole Park at Camden Yards,,2000,MLB,,,,18,24,3
Atlanta Braves,San Diego Padres,3,1,1.95,1.95,2000-08-15,Turner Field,,2000,MLB,,,,4,14,2
Houston Astros,Pittsburgh Pirates,5,4,1.95,1.95,2000-08-16,Enron Field,,2000,MLB,,,,9,16,0
Minnesota Twins,Kansas City Royals,6,2,1.95,1.95,2000-08-16,Hubert H. Humphrey Metrodome,,2000,MLB,,,,8,16,0
Milwaukee Brewers,Cincinnati Reds,2,1,1.95,1.95,2000-08-16,Milwaukee County Stadium,,2000,MLB,,,,3,12,2
Texas Rangers,New York Yankees,2,10,1.95,1.95,2000-08-16,The Ballpark at Arlington,,2000,MLB,,,,12,25,1
Oakland Athletics,Cleveland Indians,5,3,1.95,1.95,2000-08-16,Network Associates Coliseum,,2000,MLB,,,,8,16,1
Seattle Mariners,Detroit Tigers,0,9,1.95,1.95,2000-08-16,Safeco Field,,2000,MLB,,,,9,22,0
Toronto Blue Jays,Anaheim Angels,8,6,1.95,1.95,2000-08-16,SkyDome,,2000,MLB,,,,14,21,3
Philadelphia Phillies,Arizona Diamondbacks,1,5,1.95,1.95,2000-08-16,Veterans Stadium,,2000,MLB,,,,6,17,0
Atlanta Braves,San Diego Padres,4,1,1.95,1.95,2000-08-16,Turner Field,,2000,MLB,,,,5,10,1
Chicago Cubs,St. Louis Cardinals,1,5,1.95,1.95,2000-08-16,Wrigley Field,,2000,MLB,,,,6,15,0
Montreal Expos,San Francisco Giants,1,4,1.95,1.95,2000-08-16,Olympic Stadium,,2000,MLB,,,,5,15,0
Boston Red Sox,Tampa Bay Devil Rays,4,3,1.95,1.95,2000-08-16,Fenway Park,,2000,MLB,,,,7,18,2
Florida Marlins,Los Angeles Dodgers,4,10,1.95,1.95,2000-08-16,Pro Player Stadium,,2000,MLB,,,,14,24,1
Texas Rangers,New York Yankees,5,0,1.95,1.95,2000-08-16,The Ballpark at Arlington,,2000,MLB,,,,5,12,1
New York Mets,Colorado Rockies,5,7,1.95,1.95,2000-08-16,Shea Stadium,,2000,MLB,,,,12,19,1
Baltimore Orioles,Chicago White Sox,3,7,1.95,1.95,2000-08-16,Oriole Park at Camden Yards,,2000,MLB,,,,10,14,2
Houston Astros,Pittsburgh Pirates,11,10,1.95,1.95,2000-08-17,Enron Field,,2000,MLB,,,,21,21,3
Minnesota Twins,Kansas City Royals,3,9,1.95,1.95,2000-08-17,Hubert H. Humphrey Metrodome,,2000,MLB,,,,12,23,2
Milwaukee Brewers,Cincinnati Reds,5,1,1.95,1.95,2000-08-17,Milwaukee County Stadium,,2000,MLB,,,,6,18,1
Seattle Mariners,Detroit Tigers,8,12,1.95,1.95,2000-08-17,Safeco Field,,2000,MLB,,,,20,26,2
Oakland Athletics,Cleveland Indians,7,6,1.95,1.95,2000-08-17,Network Associates Coliseum,,2000,MLB,,,,13,21,1
Minnesota Twins,Kansas City Royals,4,8,1.95,1.95,2000-08-17,Hubert H. Humphrey Metrodome,,2000,MLB,,,,12,24,2
New York Mets,Colorado Rockies,13,2,1.95,1.95,2000-08-17,Shea Stadium,,2000,MLB,,,,15,19,3
Montreal Expos,San Francisco Giants,4,5,1.95,1.95,2000-08-17,Olympic Stadium,,2000,MLB,,,,9,18,1
Baltimore Orioles,Chicago White Sox,5,3,1.95,1.95,2000-08-17,Oriole Park at Camden Yards,,2000,MLB,,,,8,14,3
Boston Red Sox,Texas Rangers,8,7,1.95,1.95,2000-08-17,Fenway Park,,2000,MLB,,,,15,30,4
New York Yankees,Anaheim Angels,6,1,1.95,1.95,2000-08-17,Yankee Stadium I,,2000,MLB,,,,7,17,1
Detroit Tigers,Oakland Athletics,10,1,1.95,1.95,2000-08-18,Comerica Park,,2000,MLB,,,,11,20,5
Cleveland Indians,Seattle Mariners,9,8,1.95,1.95,2000-08-18,Jacobs Field,,2000,MLB,,,,17,24,3
Boston Red Sox,Texas Rangers,6,4,1.95,1.95,2000-08-18,Fenway Park,,2000,MLB,,,,10,19,2
Toronto Blue Jays,Minnesota Twins,3,2,1.95,1.95,2000-08-18,SkyDome,,2000,MLB,,,,5,16,1
New York Yankees,Anaheim Angels,8,9,1.95,1.95,2000-08-18,Yankee Stadium I,,2000,MLB,,,,17,28,1
Baltimore Orioles,Kansas City Royals,1,4,1.95,1.95,2000-08-18,Oriole Park at Camden Yards,,2000,MLB,,,,5,12,1
Cincinnati Reds,Pittsburgh Pirates,3,6,1.95,1.95,2000-08-18,Cinergy Field,,2000,MLB,,,,9,17,2
Chicago White Sox,Tampa Bay Devil Rays,5,2,1.95,1.95,2000-08-19,Comiskey Park,,2000,MLB,,,,7,16,0
Houston Astros,Milwaukee Brewers,5,4,1.95,1.95,2000-08-19,Enron Field,,2000,MLB,,,,9,18,2
St. Louis Cardinals,Philadelphia Phillies,7,6,1.95,1.95,2000-08-19,Busch Stadium I,,2000,MLB,,,,13,14,1
Colorado Rockies,Florida Marlins,8,9,1.95,1.95,2000-08-19,Coors Field,,2000,MLB,,,,17,30,0
Arizona Diamondbacks,Chicago Cubs,11,2,1.95,1.95,2000-08-19,Bank One Ballpark,,2000,MLB,,,,13,18,1
San Diego Padres,Montreal Expos,3,6,1.95,1.95,2000-08-19,Qualcomm Stadium,,2000,MLB,,,,9,18,4
Los Angeles Dodgers,New York Mets,3,5,1.95,1.95,2000-08-19,Dodger Stadium,,2000,MLB,,,,8,18,5
San Francisco Giants,Atlanta Braves,2,0,1.95,1.95,2000-08-19,PacBell Park,,2000,MLB,,,,2,11,0
Cleveland Indians,Seattle Mariners,10,4,1.95,1.95,2000-08-19,Jacobs Field,,2000,MLB,,,,14,19,2
New York Yankees,Anaheim Angels,9,1,1.95,1.95,2000-08-19,Yankee Stadium I,,2000,MLB,,,,10,16,4
Cincinnati Reds,Pittsburgh Pirates,7,1,1.95,1.95,2000-08-19,Cinergy Field,,2000,MLB,,,,8,15,1
Boston Red Sox,Texas Rangers,9,0,1.95,1.95,2000-08-19,Fenway Park,,2000,MLB,,,,9,16,0
Los Angeles Dodgers,New York Mets,4,1,1.95,1.95,2000-08-19,Dodger Stadium,,2000,MLB,,,,5,13,0
Toronto Blue Jays,Minnesota Twins,1,5,1.95,1.95,2000-08-19,SkyDome,,2000,MLB,,,,6,16,0
San Francisco Giants,Atlanta Braves,12,3,1.95,1.95,2000-08-19,PacBell Park,,2000,MLB,,,,15,20,2
Detroit Tigers,Oakland Athletics,4,3,1.95,1.95,2000-08-19,Comerica Park,,2000,MLB,,,,7,19,0
Baltimore Orioles,Kansas City Royals,0,7,1.95,1.95,2000-08-19,Oriole Park at Camden Yards,,2000,MLB,,,,7,15,2
Chicago White Sox,Tampa Bay Devil Rays,7,0,1.95,1.95,2000-08-19,Comiskey Park,,2000,MLB,,,,7,14,1
Colorado Rockies,Florida Marlins,10,3,1.95,1.95,2000-08-20,Coors Field,,2000,MLB,,,,13,20,3
Houston Astros,Milwaukee Brewers,10,8,1.95,1.95,2000-08-20,Enron Field,,2000,MLB,,,,18,19,0
St. Louis Cardinals,Philadelphia Phillies,6,3,1.95,1.95,2000-08-20,Busch Stadium I,,2000,MLB,,,,9,16,0
Arizona Diamondbacks,Chicago Cubs,11,3,1.95,1.95,2000-08-20,Bank One Ballpark,,2000,MLB,,,,14,22,0
San Diego Padres,Montreal Expos,4,3,1.95,1.95,2000-08-20,Qualcomm Stadium,,2000,MLB,,,,7,20,1
Detroit Tigers,Oakland Athletics,4,5,1.95,1.95,2000-08-20,Comerica Park,,2000,MLB,,,,9,24,3
Cleveland Indians,Seattle Mariners,12,4,1.95,1.95,2000-08-20,Jacobs Field,,2000,MLB,,,,16,26,3
Toronto Blue Jays,Minnesota Twins,6,3,1.95,1.95,2000-08-20,SkyDome,,2000,MLB,,,,9,19,4
