HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Date,League
Bodrumspor,Besiktas,0,4,A,4.2,3.75,1.75,2025-06-01,super_lig
Samsunspor,Kayserispor,2,1,H,1.75,3.75,4.33,2025-06-01,super_lig
Fenerbahce,Konyaspor,2,1,H,1.48,5.25,5.25,2025-05-31,super_lig
Rizespor,Hatayspor,5,2,H,1.44,5.0,5.75,2025-05-31,super_lig
Ad. Demirspor,Gaziantep,2,2,D,6.5,5.5,1.38,2025-05-31,super_lig
Alanyaspor,Sivasspor,2,0,H,1.85,3.8,3.7,2025-05-31,super_lig
Antalyaspor,Trabzonspor,0,2,A,2.75,3.4,2.45,2025-05-30,super_lig
Galatasaray,Buyuksehyr,2,0,H,1.7,4.75,3.9,2025-05-30,super_lig
Kasimpasa,Goztep,1,2,A,2.2,3.9,2.88,2025-05-30,super_lig
Hatayspor,Fenerbahce,4,2,H,9.0,6.5,1.22,2025-05-26,super_lig
Bournemouth,Leicester,2,0,H,1.33,5.25,8.5,2025-05-25,premier_league
Fulham,Man City,0,2,A,5.0,4.2,1.6,2025-05-25,premier_league
Ipswich,West Ham,1,3,A,3.0,3.8,2.2,2025-05-25,premier_league
Liverpool,Crystal Palace,1,1,D,1.4,6.0,5.75,2025-05-25,premier_league
Man United,Aston Villa,2,0,H,4.33,4.2,1.7,2025-05-25,premier_league
Newcastle,Everton,0,1,A,1.33,5.5,8.5,2025-05-25,premier_league
Nott'm Forest,Chelsea,0,1,A,3.0,3.75,2.2,2025-05-25,premier_league
Southampton,Arsenal,1,2,A,8.5,6.0,1.3,2025-05-25,premier_league
Tottenham,Brighton,1,4,A,4.2,4.33,1.7,2025-05-25,premier_league
Wolves,Brentford,1,1,D,2.7,3.7,2.45,2025-05-25,premier_league
Girona,Ath Madrid,0,4,A,3.8,3.75,1.91,2025-05-25,la_liga
Villarreal,Sevilla,4,2,H,1.48,5.0,6.0,2025-05-25,la_liga
Ath Bilbao,Barcelona,0,3,A,3.2,3.75,2.1,2025-05-25,la_liga
Atalanta,Parma,2,3,A,1.75,3.5,5.0,2025-05-25,serie_a
Empoli,Verona,1,2,A,1.95,3.2,4.33,2025-05-25,serie_a
Lazio,Lecce,0,1,A,1.53,3.7,7.5,2025-05-25,serie_a
Torino,Roma,0,2,A,5.5,4.2,1.57,2025-05-25,serie_a
Udinese,Fiorentina,2,3,A,3.7,3.6,2.0,2025-05-25,serie_a
Venezia,Juventus,2,3,A,5.75,4.33,1.53,2025-05-25,serie_a
Club Brugge,Antwerp,1,1,D,1.25,7.0,8.0,2025-05-25,pro_league
Genk,Anderlecht,2,1,H,1.95,3.6,3.6,2025-05-25,pro_league
St. Gilloise,Gent,3,1,H,1.17,7.5,13.0,2025-05-25,pro_league
Besiktas,Rizespor,1,2,A,1.45,4.33,6.0,2025-05-25,super_lig
Buyuksehyr,Ad. Demirspor,2,3,A,1.07,11.0,21.0,2025-05-25,super_lig
Kayserispor,Bodrumspor,1,1,D,3.5,3.4,2.0,2025-05-25,super_lig
Konyaspor,Alanyaspor,1,2,A,2.8,3.5,2.25,2025-05-25,super_lig
Trabzonspor,Samsunspor,2,2,D,2.25,3.5,2.8,2025-05-25,super_lig
Real Madrid,Sociedad,2,0,H,1.42,5.0,6.5,2025-05-24,la_liga
Espanol,Las Palmas,2,0,H,1.38,4.75,8.0,2025-05-24,la_liga
Leganes,Valladolid,3,0,H,1.3,5.5,9.5,2025-05-24,la_liga
Alaves,Osasuna,1,1,D,3.2,3.2,2.35,2025-05-24,la_liga
Getafe,Celta,1,2,A,4.1,3.75,1.85,2025-05-24,la_liga
Vallecano,Mallorca,0,0,D,1.53,4.2,6.25,2025-05-24,la_liga
Bologna,Genoa,1,3,A,1.5,4.5,6.0,2025-05-24,serie_a
Milan,Monza,2,0,H,1.22,7.0,11.0,2025-05-24,serie_a
Charleroi,Oud-Heverlee Leuven,2,1,H,1.62,4.1,4.75,2025-05-24,pro_league
Dender,Mechelen,2,2,D,3.3,3.75,2.0,2025-05-24,pro_league
Westerlo,Standard,0,0,D,1.65,4.2,4.5,2025-05-24,pro_league
Eyupspor,Antalyaspor,2,1,H,1.9,3.6,3.7,2025-05-24,super_lig
Gaziantep,Kasimpasa,2,2,D,2.6,3.7,2.38,2025-05-24,super_lig
Goztep,Galatasaray,0,2,A,3.7,4.5,1.7,2025-05-24,super_lig
Betis,Valencia,1,1,D,1.91,3.75,3.75,2025-05-23,la_liga
Como,Inter,0,2,A,5.0,4.2,1.65,2025-05-23,serie_a
Napoli,Cagliari,2,0,H,1.2,7.0,12.0,2025-05-23,serie_a
Crystal Palace,Wolves,4,2,H,2.25,3.3,3.2,2025-05-20,premier_league
Man City,Bournemouth,3,1,H,1.55,4.33,5.75,2025-05-20,premier_league
Brighton,Liverpool,3,2,H,2.6,3.75,2.45,2025-05-19,premier_league
Everton,Southampton,2,0,H,1.4,4.75,7.5,2025-05-18,premier_league
West Ham,Nott'm Forest,1,2,A,2.75,3.3,2.55,2025-05-18,premier_league
Brentford,Fulham,2,3,A,1.91,3.9,3.6,2025-05-18,premier_league
Leicester,Ipswich,2,0,H,2.3,3.6,2.9,2025-05-18,premier_league
Arsenal,Newcastle,1,0,H,1.95,3.7,3.7,2025-05-18,premier_league
Ath Madrid,Betis,4,1,H,1.91,3.6,3.8,2025-05-18,la_liga
Barcelona,Villarreal,2,3,A,1.83,4.1,3.75,2025-05-18,la_liga
Celta,Vallecano,1,2,A,1.75,3.9,4.33,2025-05-18,la_liga
Las Palmas,Leganes,0,1,A,2.9,3.5,2.35,2025-05-18,la_liga
Mallorca,Getafe,1,2,A,2.0,3.2,4.2,2025-05-18,la_liga
Osasuna,Espanol,2,0,H,1.8,3.3,4.75,2025-05-18,la_liga
Sevilla,Real Madrid,0,2,A,4.2,4.0,1.75,2025-05-18,la_liga
Sociedad,Girona,3,2,H,2.05,3.1,4.1,2025-05-18,la_liga
Valencia,Ath Bilbao,0,1,A,2.2,3.0,3.8,2025-05-18,la_liga
Valladolid,Alaves,0,1,A,6.0,3.75,1.6,2025-05-18,la_liga
Cagliari,Venezia,3,0,H,2.6,3.0,3.0,2025-05-18,serie_a
Fiorentina,Bologna,3,2,H,2.75,3.0,2.75,2025-05-18,serie_a
Inter,Lazio,2,2,D,1.62,4.2,5.0,2025-05-18,serie_a
Juventus,Udinese,2,0,H,1.38,4.75,8.5,2025-05-18,serie_a
Lecce,Torino,1,0,H,1.83,3.4,4.6,2025-05-18,serie_a
Monza,Empoli,1,3,A,5.0,3.6,1.73,2025-05-18,serie_a
Parma,Napoli,0,0,D,6.25,4.2,1.5,2025-05-18,serie_a
Roma,Milan,3,1,H,2.3,3.6,2.9,2025-05-18,serie_a
Verona,Como,1,1,D,3.5,3.3,2.15,2025-05-18,serie_a
Ajax,Twente,2,0,H,1.44,5.0,6.0,2025-05-18,eredivisie
AZ Alkmaar,Almere City,1,1,D,1.33,5.5,7.5,2025-05-18,eredivisie
For Sittard,Utrecht,0,0,D,2.55,3.6,2.55,2025-05-18,eredivisie
Heerenveen,Feyenoord,2,0,H,3.0,4.0,2.1,2025-05-18,eredivisie
Heracles,Nijmegen,1,2,A,2.55,3.6,2.6,2025-05-18,eredivisie
NAC Breda,Willem II,1,1,D,1.85,3.5,4.1,2025-05-18,eredivisie
Sparta Rotterdam,PSV Eindhoven,1,3,A,8.0,6.5,1.29,2025-05-18,eredivisie
Waalwijk,Go Ahead Eagles,5,3,H,2.88,4.0,2.15,2025-05-18,eredivisie
Zwolle,Groningen,2,0,H,2.35,3.6,2.8,2025-05-18,eredivisie
Anderlecht,Club Brugge,1,3,A,4.5,3.9,1.7,2025-05-18,pro_league
Mechelen,Charleroi,1,1,D,2.35,3.5,2.88,2025-05-18,pro_league
Gent,Genk,1,4,A,3.75,3.9,1.85,2025-05-18,pro_league
Alanyaspor,Besiktas,1,1,D,3.4,3.7,1.95,2025-05-18,super_lig
Antalyaspor,Gaziantep,0,0,D,1.95,3.3,3.9,2025-05-18,super_lig
Bodrumspor,Trabzonspor,1,1,D,1.95,3.5,3.7,2025-05-18,super_lig
Fenerbahce,Eyupspor,2,1,H,1.22,6.0,11.0,2025-05-18,super_lig
Galatasaray,Kayserispor,3,0,H,1.18,7.0,12.0,2025-05-18,super_lig
Kasimpasa,Buyuksehyr,2,3,A,2.2,3.4,3.0,2025-05-18,super_lig
Rizespor,Goztep,6,3,H,1.91,3.7,3.5,2025-05-18,super_lig
Samsunspor,Sivasspor,1,0,H,1.8,3.6,4.2,2025-05-18,super_lig
Augsburg,Union Berlin,1,2,A,2.1,3.5,3.4,2025-05-17,bundesliga
Dortmund,Holstein Kiel,3,0,H,1.09,12.0,19.0,2025-05-17,bundesliga
Freiburg,Ein Frankfurt,1,3,A,2.35,3.7,2.8,2025-05-17,bundesliga
Heidenheim,Werder Bremen,1,4,A,2.3,3.8,2.75,2025-05-17,bundesliga
Hoffenheim,Bayern Munich,0,4,A,5.0,5.25,1.5,2025-05-17,bundesliga
Mainz,Leverkusen,2,2,D,2.15,3.9,3.0,2025-05-17,bundesliga
M'gladbach,Wolfsburg,0,1,A,2.2,4.2,2.8,2025-05-17,bundesliga
RB Leipzig,Stuttgart,2,3,A,2.0,4.2,3.2,2025-05-17,bundesliga
St Pauli,Bochum,0,2,A,1.67,4.2,4.5,2025-05-17,bundesliga
Genoa,Atalanta,2,3,A,4.5,3.9,1.75,2025-05-17,serie_a
Lens,Monaco,4,0,H,3.9,4.1,1.83,2025-05-17,ligue_1
Lille,Reims,2,1,H,1.38,4.75,8.5,2025-05-17,ligue_1
Lyon,Angers,2,0,H,1.29,6.0,9.0,2025-05-17,ligue_1
Marseille,Rennes,4,2,H,1.75,3.9,4.2,2025-05-17,ligue_1
Nantes,Montpellier,3,0,H,1.53,4.5,5.5,2025-05-17,ligue_1
Nice,Brest,6,0,H,1.48,4.5,6.5,2025-05-17,ligue_1
Paris SG,Auxerre,3,1,H,1.2,7.0,13.0,2025-05-17,ligue_1
St Etienne,Toulouse,2,3,A,1.95,4.2,3.25,2025-05-17,ligue_1
Strasbourg,Le Havre,2,3,A,1.57,4.75,5.0,2025-05-17,ligue_1
Standard,Dender,0,0,D,2.25,3.5,3.0,2025-05-17,pro_league
Antwerp,St. Gilloise,0,4,A,4.5,3.75,1.73,2025-05-17,pro_league
Arouca,Boavista,4,1,H,2.05,3.5,3.5,2025-05-17,primeira_liga
AVS,Moreirense,0,3,A,2.0,3.3,3.8,2025-05-17,primeira_liga
Estoril,Estrela,4,0,H,2.5,3.3,2.75,2025-05-17,primeira_liga
Farense,Santa Clara,1,2,A,2.75,3.0,2.75,2025-05-17,primeira_liga
Porto,Nacional,3,0,H,1.3,5.25,9.5,2025-05-17,primeira_liga
Sp Braga,Benfica,1,1,D,5.0,4.1,1.62,2025-05-17,primeira_liga
Sp Lisbon,Guimaraes,2,0,H,1.25,5.5,12.0,2025-05-17,primeira_liga
Ad. Demirspor,Hatayspor,0,5,A,3.2,4.5,1.85,2025-05-17,super_lig
Aston Villa,Tottenham,2,0,H,1.3,6.0,8.5,2025-05-16,premier_league
Chelsea,Man United,1,0,H,1.44,5.0,6.25,2025-05-16,premier_league
Oud-Heverlee Leuven,Westerlo,0,2,A,2.45,3.7,2.63,2025-05-16,pro_league
Famalicao,Casa Pia,2,1,H,1.9,3.5,3.9,2025-05-16,primeira_liga
Rio Ave,Gil Vicente,1,1,D,2.55,3.2,2.45,2025-05-16,primeira_liga
Vallecano,Betis,2,2,D,3.0,3.2,2.4,2025-05-15,la_liga
Osasuna,Ath Madrid,2,0,H,3.6,3.3,2.1,2025-05-15,la_liga
Espanol,Barcelona,0,2,A,9.0,5.75,1.3,2025-05-15,la_liga
Getafe,Ath Bilbao,0,2,A,3.2,2.75,2.63,2025-05-15,la_liga
Alaves,Valencia,1,0,H,2.1,3.1,3.7,2025-05-14,la_liga
Villarreal,Leganes,3,0,H,1.33,5.75,8.0,2025-05-14,la_liga
Real Madrid,Mallorca,2,1,H,1.38,5.25,7.0,2025-05-14,la_liga
Almere City,For Sittard,1,1,D,2.25,3.5,3.1,2025-05-14,eredivisie
Feyenoord,Waalwijk,2,0,H,1.14,9.5,15.0,2025-05-14,eredivisie
Go Ahead Eagles,Heerenveen,1,0,H,2.55,3.75,2.55,2025-05-14,eredivisie
Groningen,Ajax,2,2,D,4.75,4.2,1.65,2025-05-14,eredivisie
Nijmegen,NAC Breda,3,0,H,1.8,3.7,4.33,2025-05-14,eredivisie
PSV Eindhoven,Heracles,4,1,H,1.07,12.0,29.0,2025-05-14,eredivisie
Twente,AZ Alkmaar,2,3,A,2.38,3.5,2.9,2025-05-14,eredivisie
Utrecht,Sparta Rotterdam,1,1,D,1.9,3.5,4.1,2025-05-14,eredivisie
Willem II,Zwolle,1,2,A,2.55,3.2,2.5,2025-05-14,eredivisie
Valladolid,Girona,0,1,A,4.75,3.9,1.73,2025-05-13,la_liga
Sociedad,Celta,0,1,A,2.3,3.3,3.1,2025-05-13,la_liga
Sevilla,Las Palmas,1,0,H,1.67,3.7,5.25,2025-05-13,la_liga
Venezia,Fiorentina,2,1,H,3.1,3.2,2.38,2025-05-12,serie_a
Atalanta,Roma,2,1,H,1.95,3.6,3.75,2025-05-12,serie_a
Kayserispor,Antalyaspor,3,1,H,1.91,3.5,3.7,2025-05-12,super_lig
Newcastle,Chelsea,2,0,H,2.1,3.75,3.1,2025-05-11,premier_league
Man United,West Ham,0,2,A,1.9,3.6,4.0,2025-05-11,premier_league
Nott'm Forest,Leicester,2,2,D,1.33,5.25,8.0,2025-05-11,premier_league
Tottenham,Crystal Palace,0,2,A,2.63,3.6,2.5,2025-05-11,premier_league
Liverpool,Arsenal,2,2,D,2.0,3.6,3.6,2025-05-11,premier_league
Leganes,Espanol,3,2,H,2.4,3.0,3.2,2025-05-11,la_liga
Barcelona,Real Madrid,4,3,H,1.9,3.7,3.2,2025-05-11,la_liga
Ath Bilbao,Alaves,1,0,H,1.8,2.9,4.5,2025-05-11,la_liga
Betis,Osasuna,1,1,D,1.62,3.75,5.75,2025-05-11,la_liga
Leverkusen,Dortmund,2,4,A,2.7,3.9,2.35,2025-05-11,bundesliga
Ein Frankfurt,St Pauli,2,2,D,1.53,4.33,5.75,2025-05-11,bundesliga
Stuttgart,Augsburg,4,0,H,1.55,4.33,5.75,2025-05-11,bundesliga
Udinese,Monza,1,2,A,1.48,4.2,7.0,2025-05-11,serie_a
Verona,Lecce,1,1,D,2.15,3.0,3.75,2025-05-11,serie_a
Torino,Inter,0,2,A,5.75,4.0,1.57,2025-05-11,serie_a
Napoli,Genoa,2,2,D,1.3,5.25,11.0,2025-05-11,serie_a
Zwolle,Go Ahead Eagles,1,1,D,2.55,3.8,2.5,2025-05-11,eredivisie
Feyenoord,PSV Eindhoven,2,3,A,2.55,3.9,2.4,2025-05-11,eredivisie
Twente,Utrecht,2,0,H,2.35,3.8,2.7,2025-05-11,eredivisie
Ajax,Nijmegen,0,3,A,1.3,5.5,9.0,2025-05-11,eredivisie
AZ Alkmaar,Groningen,3,0,H,1.62,4.2,5.0,2025-05-11,eredivisie
Gent,Antwerp,0,3,A,2.6,3.4,2.6,2025-05-11,pro_league
Genk,Club Brugge,0,2,A,3.4,3.7,2.0,2025-05-11,pro_league
Dender,Oud-Heverlee Leuven,5,0,H,2.38,3.4,2.8,2025-05-11,pro_league
Estrela,AVS,0,1,A,1.9,3.6,3.8,2025-05-11,primeira_liga
Guimaraes,Farense,1,2,A,1.57,4.1,5.75,2025-05-11,primeira_liga
Moreirense,Estoril,2,2,D,2.35,3.4,2.9,2025-05-11,primeira_liga
Boavista,Porto,1,2,A,7.5,4.5,1.4,2025-05-11,primeira_liga
Sivasspor,Bodrumspor,0,0,D,2.25,3.2,3.25,2025-05-11,super_lig
Besiktas,Ad. Demirspor,4,1,H,1.09,10.0,19.0,2025-05-11,super_lig
Goztep,Hatayspor,1,1,D,1.25,7.0,7.5,2025-05-11,super_lig
Fulham,Everton,1,3,A,1.82,3.4,4.5,2025-05-10,premier_league
Ipswich,Brentford,0,1,A,5.0,4.0,1.65,2025-05-10,premier_league
Southampton,Man City,0,0,D,11.0,7.5,1.2,2025-05-10,premier_league
Wolves,Brighton,0,2,A,2.7,3.5,2.5,2025-05-10,premier_league
Bournemouth,Aston Villa,0,1,A,2.4,3.6,2.75,2025-05-10,premier_league
Valencia,Getafe,3,0,H,2.0,3.0,4.33,2025-05-10,la_liga
Celta,Sevilla,3,2,H,1.8,3.6,4.5,2025-05-10,la_liga
Girona,Villarreal,0,1,A,3.1,3.8,2.1,2025-05-10,la_liga
Mallorca,Valladolid,2,1,H,1.33,5.25,9.0,2025-05-10,la_liga
Ath Madrid,Sociedad,4,0,H,1.67,3.7,5.0,2025-05-10,la_liga
Bochum,Mainz,1,4,A,2.9,3.6,2.3,2025-05-10,bundesliga
Holstein Kiel,Freiburg,1,2,A,3.1,3.75,2.15,2025-05-10,bundesliga
Union Berlin,Heidenheim,0,3,A,2.25,3.3,3.3,2025-05-10,bundesliga
Werder Bremen,RB Leipzig,0,0,D,2.35,3.7,2.8,2025-05-10,bundesliga
Bayern Munich,M'gladbach,2,0,H,1.17,9.5,11.0,2025-05-10,bundesliga
Como,Cagliari,3,1,H,1.73,3.8,4.75,2025-05-10,serie_a
Lazio,Juventus,1,1,D,2.45,3.2,3.0,2025-05-10,serie_a
Empoli,Parma,2,1,H,2.15,3.3,3.5,2025-05-10,serie_a
Angers,Strasbourg,2,1,H,4.2,3.75,1.8,2025-05-10,ligue_1
Auxerre,Nantes,1,1,D,2.8,3.4,2.45,2025-05-10,ligue_1
Brest,Lille,2,0,H,4.5,3.8,1.75,2025-05-10,ligue_1
Le Havre,Marseille,1,3,A,6.0,4.5,1.5,2025-05-10,ligue_1
Monaco,Lyon,2,0,H,1.83,4.2,3.7,2025-05-10,ligue_1
Montpellier,Paris SG,1,4,A,9.0,7.0,1.25,2025-05-10,ligue_1
Reims,St Etienne,0,2,A,2.1,3.7,3.2,2025-05-10,ligue_1
Rennes,Nice,2,0,H,3.6,3.8,1.95,2025-05-10,ligue_1
Toulouse,Lens,1,1,D,2.25,3.5,3.1,2025-05-10,ligue_1
Waalwijk,Heerenveen,3,1,H,3.4,3.8,2.0,2025-05-10,eredivisie
For Sittard,NAC Breda,1,0,H,1.95,3.4,4.0,2025-05-10,eredivisie
Almere City,Sparta Rotterdam,0,3,A,2.8,3.5,2.45,2025-05-10,eredivisie
Beerschot VA,Cercle Brugge,4,2,H,5.0,4.5,1.57,2025-05-10,pro_league
Kortrijk,St Truiden,2,2,D,3.1,3.6,2.2,2025-05-10,pro_league
Mechelen,Standard,0,0,D,1.73,3.9,4.33,2025-05-10,pro_league
Anderlecht,St. Gilloise,0,1,A,3.4,3.3,2.15,2025-05-10,pro_league
Nacional,Rio Ave,3,3,D,1.95,3.5,3.75,2025-05-10,primeira_liga
Santa Clara,Famalicao,2,1,H,2.15,3.1,3.6,2025-05-10,primeira_liga
Benfica,Sp Lisbon,1,1,D,2.1,3.5,3.3,2025-05-10,primeira_liga
Casa Pia,Sp Braga,2,1,H,5.75,3.8,1.57,2025-05-10,primeira_liga
Gil Vicente,Arouca,1,1,D,2.35,3.25,3.0,2025-05-10,primeira_liga
Eyupspor,Kasimpasa,0,3,A,2.3,3.5,2.75,2025-05-10,super_lig
Konyaspor,Rizespor,2,1,H,2.0,3.4,3.7,2025-05-10,super_lig
Trabzonspor,Galatasaray,0,2,A,3.5,4.33,1.7,2025-05-10,super_lig
Las Palmas,Vallecano,0,1,A,2.45,3.25,3.0,2025-05-09,la_liga
Wolfsburg,Hoffenheim,2,2,D,2.2,3.6,2.9,2025-05-09,bundesliga
Milan,Bologna,3,1,H,2.3,3.4,3.0,2025-05-09,serie_a
Willem II,Heracles,1,2,A,2.7,3.25,2.6,2025-05-09,eredivisie
Charleroi,Westerlo,4,3,H,1.62,4.33,4.5,2025-05-09,pro_league
Buyuksehyr,Fenerbahce,1,4,A,3.8,3.9,1.8,2025-05-09,super_lig
Gaziantep,Alanyaspor,0,1,A,2.4,3.4,2.75,2025-05-09,super_lig
Crystal Palace,Nott'm Forest,1,1,D,2.25,3.4,3.2,2025-05-05,premier_league
Girona,Mallorca,1,0,H,2.0,3.1,4.2,2025-05-05,la_liga
Genoa,Milan,1,2,A,4.75,3.7,1.8,2025-05-05,serie_a
Rio Ave,Estrela,2,0,H,2.35,3.3,3.0,2025-05-05,primeira_liga
AVS,Boavista,1,2,A,2.1,3.2,3.7,2025-05-05,primeira_liga
Kasimpasa,Trabzonspor,1,1,D,2.55,3.5,2.38,2025-05-05,super_lig
Brentford,Man United,4,3,H,1.65,4.1,4.75,2025-05-04,premier_league
Brighton,Newcastle,1,1,D,2.88,3.7,2.3,2025-05-04,premier_league
West Ham,Tottenham,1,1,D,2.1,3.7,3.25,2025-05-04,premier_league
Chelsea,Liverpool,3,1,H,2.15,3.7,3.1,2025-05-04,premier_league
Real Madrid,Celta,3,2,H,1.33,5.75,7.0,2025-05-04,la_liga
Sevilla,Leganes,2,2,D,1.77,3.5,4.75,2025-05-04,la_liga
Espanol,Betis,1,2,A,3.3,3.0,2.38,2025-05-04,la_liga
Sociedad,Ath Bilbao,0,0,D,2.55,3.0,3.0,2025-05-04,la_liga
Augsburg,Holstein Kiel,1,3,A,1.83,3.9,4.0,2025-05-04,bundesliga
Freiburg,Leverkusen,2,2,D,3.2,3.4,2.25,2025-05-04,bundesliga
Mainz,Ein Frankfurt,1,1,D,2.35,3.5,2.9,2025-05-04,bundesliga
Empoli,Lazio,0,1,A,4.33,3.6,1.83,2025-05-04,serie_a
Monza,Atalanta,0,4,A,13.0,6.0,1.22,2025-05-04,serie_a
Roma,Fiorentina,1,0,H,1.65,3.7,5.5,2025-05-04,serie_a
Bologna,Juventus,1,1,D,2.4,3.1,3.2,2025-05-04,serie_a
Nantes,Angers,0,1,A,1.9,3.2,4.75,2025-05-04,ligue_1
Auxerre,Le Havre,1,2,A,2.1,3.6,3.25,2025-05-04,ligue_1
Brest,Montpellier,1,0,H,1.36,5.25,7.5,2025-05-04,ligue_1
Lyon,Lens,1,2,A,1.55,4.33,5.75,2025-05-04,ligue_1
Lille,Marseille,1,1,D,2.35,3.25,3.1,2025-05-04,ligue_1
NAC Breda,Zwolle,1,3,A,2.25,3.5,3.1,2025-05-04,eredivisie
Go Ahead Eagles,AZ Alkmaar,0,3,A,2.7,3.6,2.5,2025-05-04,eredivisie
Sparta Rotterdam,Twente,0,2,A,2.35,3.6,2.88,2025-05-04,eredivisie
Standard,Charleroi,0,1,A,3.25,3.2,2.25,2025-05-04,pro_league
St Truiden,Beerschot VA,2,1,H,1.44,4.5,6.25,2025-05-04,pro_league
Arouca,Casa Pia,0,0,D,2.05,3.3,3.6,2025-05-04,primeira_liga
Sp Lisbon,Gil Vicente,2,1,H,1.13,7.5,21.0,2025-05-04,primeira_liga
Samsunspor,Eyupspor,3,0,H,2.15,3.1,3.3,2025-05-04,super_lig
Ad. Demirspor,Goztep,1,2,A,11.0,6.0,1.17,2025-05-04,super_lig
Fenerbahce,Besiktas,0,1,A,1.5,4.2,5.25,2025-05-04,super_lig
Aston Villa,Fulham,1,0,H,1.77,3.75,4.5,2025-05-03,premier_league
Everton,Ipswich,2,2,D,1.45,4.33,6.5,2025-05-03,premier_league
Leicester,Southampton,2,0,H,2.3,3.6,2.88,2025-05-03,premier_league
Arsenal,Bournemouth,1,2,A,2.05,3.7,3.4,2025-05-03,premier_league
Bristol City,Preston,2,2,D,1.75,3.6,4.75,2025-05-03,championship
Burnley,Millwall,3,1,H,1.62,3.7,5.75,2025-05-03,championship
Coventry,Middlesbrough,2,0,H,2.05,3.8,3.2,2025-05-03,championship
Derby,Stoke,0,0,D,2.05,3.0,4.2,2025-05-03,championship
Norwich,Cardiff,4,2,H,1.58,4.33,4.75,2025-05-03,championship
Plymouth,Leeds,1,2,A,9.5,6.25,1.25,2025-05-03,championship
Portsmouth,Hull,1,1,D,2.8,3.6,2.3,2025-05-03,championship
Sheffield United,Blackburn,1,1,D,2.25,3.5,3.0,2025-05-03,championship
Sunderland,QPR,0,1,A,1.57,4.1,5.25,2025-05-03,championship
Swansea,Oxford,3,3,D,1.62,4.0,4.75,2025-05-03,championship
Watford,Sheffield Weds,1,1,D,2.75,3.5,2.4,2025-05-03,championship
West Brom,Luton,5,3,H,3.0,3.4,2.3,2025-05-03,championship
Alaves,Ath Madrid,0,0,D,3.7,3.1,2.15,2025-05-03,la_liga
Villarreal,Osasuna,4,2,H,1.53,4.2,6.0,2025-05-03,la_liga
Las Palmas,Valencia,2,3,A,2.63,3.3,2.7,2025-05-03,la_liga
Valladolid,Barcelona,1,2,A,15.0,8.0,1.14,2025-05-03,la_liga
M'gladbach,Hoffenheim,4,4,D,2.1,4.0,3.0,2025-05-03,bundesliga
RB Leipzig,Bayern Munich,3,3,D,4.5,4.33,1.62,2025-05-03,bundesliga
St Pauli,Stuttgart,0,1,A,2.62,3.5,2.55,2025-05-03,bundesliga
Union Berlin,Werder Bremen,2,2,D,2.7,3.4,2.55,2025-05-03,bundesliga
Dortmund,Wolfsburg,4,0,H,1.33,5.75,7.5,2025-05-03,bundesliga
Cagliari,Udinese,1,2,A,2.2,3.2,3.5,2025-05-03,serie_a
Parma,Como,0,1,A,3.1,3.3,2.3,2025-05-03,serie_a
Lecce,Napoli,0,1,A,7.0,3.8,1.55,2025-05-03,serie_a
Inter,Verona,1,0,H,1.3,5.25,10.0,2025-05-03,serie_a
Strasbourg,Paris SG,2,1,H,2.45,3.75,2.6,2025-05-03,ligue_1
Toulouse,Rennes,2,1,H,2.15,3.4,3.4,2025-05-03,ligue_1
St Etienne,Monaco,1,3,A,6.5,5.25,1.37,2025-05-03,ligue_1
Nijmegen,Willem II,1,1,D,1.57,4.33,5.25,2025-05-03,eredivisie
Heracles,Feyenoord,1,4,A,5.0,4.5,1.57,2025-05-03,eredivisie
Groningen,Waalwijk,6,1,H,1.7,3.9,5.0,2025-05-03,eredivisie
PSV Eindhoven,For Sittard,4,1,H,1.11,9.0,21.0,2025-05-03,eredivisie
Cercle Brugge,Kortrijk,0,2,A,1.85,3.6,3.9,2025-05-03,pro_league
Oud-Heverlee Leuven,Mechelen,1,2,A,2.6,3.3,2.55,2025-05-03,pro_league
St. Gilloise,Genk,1,0,H,1.9,3.6,3.7,2025-05-03,pro_league
Farense,Famalicao,2,1,H,2.6,3.1,2.8,2025-05-03,primeira_liga
Nacional,Guimaraes,1,2,A,4.2,3.5,1.85,2025-05-03,primeira_liga
Sp Braga,Santa Clara,1,1,D,1.73,3.4,5.25,2025-05-03,primeira_liga
Estoril,Benfica,1,2,A,11.0,8.0,1.18,2025-05-03,primeira_liga
Alanyaspor,Kayserispor,1,1,D,2.0,3.4,3.4,2025-05-03,super_lig
Rizespor,Gaziantep,2,0,H,1.85,3.6,3.75,2025-05-03,super_lig
Galatasaray,Sivasspor,4,1,H,1.2,7.5,11.0,2025-05-03,super_lig
Hatayspor,Buyuksehyr,2,4,A,5.75,4.0,1.45,2025-05-03,super_lig
Man City,Wolves,1,0,H,1.4,4.75,7.5,2025-05-02,premier_league
Vallecano,Getafe,1,0,H,2.38,3.0,3.4,2025-05-02,la_liga
Heidenheim,Bochum,0,0,D,2.25,3.6,3.1,2025-05-02,bundesliga
Torino,Venezia,1,1,D,2.5,2.88,3.25,2025-05-02,serie_a
Nice,Reims,1,0,H,1.4,4.75,7.5,2025-05-02,ligue_1
Westerlo,Dender,4,2,H,1.6,4.33,4.75,2025-05-02,pro_league
Porto,Moreirense,3,1,H,1.33,5.25,8.0,2025-05-02,primeira_liga
