HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Date,League
Newcastle,Man City,3,3,D,7.5,5.0,1.36,2022-08-21,premier_league
Bristol City,Cardiff,2,0,H,2.2,3.3,3.4,2022-08-21,championship
Ath Bilbao,Valencia,1,0,H,1.8,3.75,4.5,2022-08-21,la_liga
Ath Madrid,Villarreal,0,2,A,1.85,3.5,4.33,2022-08-21,la_liga
Sociedad,Barcelona,1,4,A,3.3,3.6,2.1,2022-08-21,la_liga
Ein Frankfurt,FC Koln,1,1,D,1.95,3.75,3.6,2022-08-21,bundesliga
Bochum,Bayern Munich,0,7,A,13.0,8.0,1.18,2022-08-21,bundesliga
Empoli,Fiorentina,0,0,D,3.75,3.8,1.9,2022-08-21,serie_a
Napoli,Monza,4,0,H,1.33,5.5,8.0,2022-08-21,serie_a
Atalanta,Milan,1,1,D,2.75,3.5,2.5,2022-08-21,serie_a
Bologna,Verona,1,1,D,2.15,3.5,3.3,2022-08-21,serie_a
Strasbourg,Reims,1,1,D,1.75,3.5,4.75,2022-08-21,ligue_1
Angers,Brest,1,3,A,2.3,3.25,3.2,2022-08-21,ligue_1
Clermont,Nice,1,0,H,3.75,3.4,2.05,2022-08-21,ligue_1
Montpellier,Auxerre,1,2,A,2.1,3.4,3.5,2022-08-21,ligue_1
Toulouse,Lorient,2,2,D,2.05,3.5,3.6,2022-08-21,ligue_1
Rennes,Ajaccio,2,1,H,1.4,4.75,8.0,2022-08-21,ligue_1
Lille,Paris SG,1,7,A,6.0,4.75,1.5,2022-08-21,ligue_1
Groningen,Go Ahead Eagles,1,0,H,1.85,3.5,4.33,2022-08-21,eredivisie
Sparta Rotterdam,Ajax,0,1,A,12.0,6.0,1.25,2022-08-21,eredivisie
Waalwijk,Feyenoord,0,1,A,8.0,5.5,1.33,2022-08-21,eredivisie
Club Brugge,Kortrijk,2,1,H,1.33,5.0,9.5,2022-08-21,pro_league
Waregem,Charleroi,1,3,A,3.1,3.75,2.15,2022-08-21,pro_league
Standard,Oud-Heverlee Leuven,1,3,A,1.95,3.75,3.4,2022-08-21,pro_league
Mechelen,Westerlo,5,4,H,2.62,3.25,2.7,2022-08-21,pro_league
Casa Pia,Boavista,2,0,H,2.45,3.1,3.0,2022-08-21,primeira_liga
Sp Braga,Maritimo,5,0,H,1.36,4.5,9.0,2022-08-21,primeira_liga
Portimonense,Guimaraes,2,1,H,2.62,3.3,2.55,2022-08-21,primeira_liga
Buyuksehyr,Kayserispor,2,0,H,1.55,3.8,6.5,2022-08-21,super_lig
Besiktas,Karagumruk,4,1,H,1.57,4.2,5.0,2022-08-21,super_lig
Celta Vigo,Barcelona,2,1,H,,,,2022-08-20,la_liga
Nantes,PSG,2,3,A,,,,2022-08-20,ligue_1
Newcastle,Arsenal,0,2,A,,,,2022-08-20,epl
Everton,Nottm Forest,1,1,D,,,,2022-08-20,epl
Wolves,Tottenham,0,1,A,,,,2022-08-20,epl
Tottenham,Wolves,1,0,H,1.4,4.75,7.5,2022-08-20,premier_league
Crystal Palace,Aston Villa,3,1,H,2.5,3.25,2.9,2022-08-20,premier_league
Everton,Nott'm Forest,1,1,D,1.9,3.6,4.0,2022-08-20,premier_league
Fulham,Brentford,3,2,H,2.45,3.4,2.9,2022-08-20,premier_league
Leicester,Southampton,1,2,A,1.83,4.0,4.0,2022-08-20,premier_league
Bournemouth,Arsenal,0,3,A,8.0,4.75,1.4,2022-08-20,premier_league
Birmingham,Wigan,0,1,A,2.55,3.25,2.8,2022-08-20,championship
Burnley,Blackpool,3,3,D,1.57,4.0,6.0,2022-08-20,championship
Preston,Watford,0,0,D,2.62,3.1,2.8,2022-08-20,championship
QPR,Rotherham,1,1,D,2.1,3.5,3.6,2022-08-20,championship
Reading,Middlesbrough,1,0,H,3.3,3.6,2.1,2022-08-20,championship
Sheffield United,Blackburn,3,0,H,1.75,3.6,4.75,2022-08-20,championship
Stoke,Sunderland,0,1,A,2.1,3.4,3.5,2022-08-20,championship
Swansea,Luton,0,2,A,2.45,3.2,3.1,2022-08-20,championship
West Brom,Hull,5,2,H,1.55,4.2,6.0,2022-08-20,championship
Osasuna,Cadiz,2,0,H,1.9,3.25,4.5,2022-08-20,la_liga
Mallorca,Betis,1,2,A,3.1,3.2,2.4,2022-08-20,la_liga
Celta,Real Madrid,1,4,A,4.5,4.2,1.66,2022-08-20,la_liga
Augsburg,Mainz,1,2,A,3.5,3.5,2.1,2022-08-20,bundesliga
Dortmund,Werder Bremen,2,3,A,1.36,5.25,7.5,2022-08-20,bundesliga
Leverkusen,Hoffenheim,0,3,A,1.66,4.33,4.5,2022-08-20,bundesliga
Stuttgart,Freiburg,0,1,A,2.62,3.6,2.55,2022-08-20,bundesliga
Wolfsburg,Schalke 04,0,0,D,1.83,3.8,4.2,2022-08-20,bundesliga
Union Berlin,RB Leipzig,2,1,H,3.6,3.5,2.05,2022-08-20,bundesliga
Torino,Lazio,0,0,D,3.0,3.5,2.3,2022-08-20,serie_a
Udinese,Salernitana,0,0,D,1.75,3.8,4.5,2022-08-20,serie_a
Inter,Spezia,3,0,H,1.16,8.0,15.0,2022-08-20,serie_a
Sassuolo,Lecce,1,0,H,1.75,4.0,4.2,2022-08-20,serie_a
Monaco,Lens,1,4,A,1.75,3.8,4.33,2022-08-20,ligue_1
